Intensity,Wavelength (Å),Spectrum,Reference
250,4305.0,K II,D26
7 P,4305.45,Sr II,MCS75
300,4305.764,Pr II,G90
800 P,4305.907,Ti I,F91
7,4305.966,Yb I,MT78
250,4306.34,Gd I,MCS75
200,4306.722,Ce II,C73
1000,4306.8,Tl II,ES36
150,4307.1762,Th I,PE83
80,4307.604,Ru I,K59
500,4307.741,Ca I,R68
250,4307.76,Rn I,R33
120,4307.9023,Fe I,NJLT94
50,4308.63,Dy II,NG00
200,4309.012,Sm II,K35
250,4309.1,K II,D26
25,4309.239,Ar II,N73
200,4309.62,Y II,NJK91
40 s,4309.652,Am II,FT57
150 h,4310.51,Xe II,H39
25,4311.27,Nb I,MCS75
20,4311.4,Os I,MCS75
13,4311.5,Ir I,MCS75
400 P,4313.84,Gd I,MCS75
150,4314.082,Sc II,JL80
110,4314.4,Gd I,MCS75
150,4314.8,Ti I,F91
20,4315.11,Au I,ED71
90,4315.2543,Th I,PE83
250,4317.138,O II,MKM93
150 h,4317.81,Kr II,DHM33
200,4318.4157,Th I,PE83
30,4318.441,Ru I,K59
70,4318.5513,Kr I,K93
50,4318.629,Ti I,F91
700 P,4318.847,Tb I,B01
500,4318.936,Sm II,K35
300,4319.53,Sm I,K35
150,4319.5794,Kr I,K93
50,4319.871,Ru I,K59
80,4320.52,Gd I,MCS75
120,4320.745,Sc II,JL80
90*,4321.11,Gd II,MCS75
90*,4321.2,Gd I,MCS75
200,4322.224,Tb I,B01
50 h,4322.98,Kr II,DHM33
400 s,4324.57,Am II,FT57
1,4324.62,Na I,R56
90,4324.998,Sc II,JL80
25,4325.126,Ti I,F91
15,4325.419,Li II,HM59
15,4325.471,Li II,HM59
300*,4325.57,Gd II,MCS75
300*,4325.69,Gd I,MCS75
200,4325.76,Nd II,MCS75
150,4325.7622,Fe I,NJLT94
20,4325.868,Dy I,NG00
30,4326.137,Mo I,WB88
20,4326.33,Nb I,MCS75
1000 P,4326.472,Tb I,B01
4,4326.633,Mn II,IV64
11,4327.0533,Pt I,SRSA92
400 P,4327.12,Gd I,MCS75
90,4327.93,Nd II,MCS75
400,4329.016,Sm II,K35
1000 P,4329.03,Cf I,RCWM80
80,4329.58,Gd I,MCS75
1000 l,4329.58,Bk I,WC78
300,4330.016,Sm I,K35
40,4330.026,V I,DA78
300 l,4330.52,Xe II,H39
1000 P,4330.82,Cm I,WHGC76
70,4331.2,Ar II,N73
25,4331.37,Nb I,MCS75
15,4332.03,Ar II,N73
200,4332.117,Tb I,B01
40,4332.825,V I,DA78
3,4333.561,Ar I,N73
500 P,4333.74,La II,MCS75
250,4333.973,Pr II,G90
300,4334.153,Sm II,K35
1000,4335.22,Cf I,RCWM80
1,4335.338,Ar I,N73
600 P,4336.137,Sm I,K35
300 P,4336.455,Tb I,B01
300,4336.54,Pm II,RCWM80
200,4337.2774,Th I,PE83
40,4337.566,Cr I,K53
200,4337.646,Tb I,B01
300,4337.773,Ce II,C73
600 P,4338.435,Tb I,B01
100,4338.7,Nd II,MCS75
70,4338.702,Pr II,G90
60,4339.223,Hg I,BAL50
60,4339.45,Cr I,K53
20,4339.74,Cr I,K53
30 P,4340.462,H I,MK00a
250,4340.609,Tb I,B01
500 P,4340.64,Ra II,R34a
60,4341.008,V I,DA78
150,4341.127,Zr I,J98
140 P,4341.6865,U II,PKE80
50,4342.073,Ru I,K59
300,4342.12,Pm II,RCWM80
100,4342.18,Gd II,MCS75
110,4344.3,Gd II,MCS75
"120 c,w",4344.3,Pr II,MCS75
90,4344.51,Cr I,K53
1,4345.168,Ar I,N73
1000,4345.69,Cm I,WHGC76
500 P,4346.46,Gd I,MCS75
200,4346.62,Gd I,MCS75
11,4346.96,Rb II,R75
90 c,4347.491,Pr II,G90
100,4347.494,Hg I,BAL50
250,4347.801,Sm II,K35
300,4347.888,Zr I,J98
250 P,4348.064,Ar II,N73
40 h,4348.783,Y I,P77
90,4349.0722,Th I,PE83
250,4349.426,O II,MKM93
300 P,4349.6,Rn I,R33
200,4349.788,Ce II,C73
70,4350.399,Pr II,G90
150 P,4350.73,Ho I,MZH78
20,4351.055,Cr I,K53
130,4351.29,Nd II,MCS75
15,4351.3597,Kr I,K93
1000,4351.504,Bk I,WC78
20,4351.57,Nb I,MCS75
120,4351.77,Cr I,K53
3,4351.906,Mg I,KM91a
15,4352.205,Ar II,N73
50,4352.74,Pb II,WRSH74
80,4352.871,V I,DA78
60,4354.13,Ru I,K59
90,4354.4824,Th I,PE83
90,4354.91,Pr II,MCS75
4,4355.09,Eu II,MCS75
1000 P,4355.477,Kr II,HP70a
"130 P,h",4355.74,U I,PKE80
110,4356.33,Hf I,MCS75
300 P,4356.837,Tb I,B01
150,4358.17,Nd II,MCS75
1000 P,4358.328,Hg I,BAL50
7,4358.69,Re I,MCS75
130,4359.13,Ac II,MFT57
140,4359.3719,Th I,PE83
30,4359.647,Cr I,K53
80 c,4359.788,Pr II,G90
250 P,4359.928,Tm I,SMC73
60 P,4360.663,Be II,J61a
90,4360.8,Zr I,J98
100 P,4360.988,Be II,J61a
80,4361.204,Ru I,K59
200,4362.04,Sm II,K35
130 P,4362.051,U I,PKE80
8,4362.066,Ar II,N73
80,4362.6416,Kr I,K93
300 P,4362.912,Sm I,K35
80,4363.3,Cs II,S81
1000 P,4363.636,Bk I,WC78
800,4364.0,Te II,HM64
250,4364.65,Ce II,C73
1000,4365.63,Br II,K40
140,4365.9301,Th I,PE83
15,4367.832,Ar II,N73
250,4368.334,Pr II,G90
70 h,4369.2,Xe II,H39
150 r,4369.64,Pm I,RD67
70,4369.69,Kr II,DHM33
120,4369.862,Ne II,P71
70,4370.753,Ar II,N73
25,4371.279,Cr I,K53
25,4371.329,Ar II,N73
60,4371.62,Pr II,MCS75
200,4372.2,Ru I,K59
30,4372.93,Cl II,RK74
40,4373.04,Cs II,S81
30 l,4373.78,Xe II,H39
200,4373.83,Gd I,MCS75
140,4374.1239,Th I,PE83
70,4374.462,Sc II,JL80
400 P,4374.8,Rh I,MCS75
900 P,4374.933,Y II,NJK91
80,4375.9302,Fe I,NJLT94
15,4375.954,Ar II,N73
130,4376.1216,Kr I,K93
30,4377.12,Rb II,R75
200,4378.236,Sm II,K35
1000 P,4379.23,V I,DA78
70,4379.4,Ne II,P71
150,4379.55,Ne II,P71
50,4379.667,Ar II,N73
300,4380.423,Sm I,K35
70,4381.63,Mo I,WB88
300 P,4381.8616,Th II,PE83
250,4382.164,Ce II,C73
200 P,4383.5449,Fe I,NJLT94
"300 P,l",4384.53,Ac I,MFT57
600 P,4384.71,V I,DA78
25,4384.974,Cr I,K53
15,4385.057,Ar II,N73
100,4385.059,Ne II,P71
80,4385.393,Ru I,K59
120,4385.65,Ru I,K59
130,4385.66,Nd II,MCS75
20,4386.397,Er I,M64b
"500 P,l",4386.41,Ac II,MFT57
140 P,4386.434,Tm I,SMC73
"100 P,c",4386.46,Pb II,WRSH74
100 h,4386.54,Kr II,DHM33
200,4386.826,Ce II,C73
10,4387.929,He I,M60a
250,4388.16,K II,D26
150 r,4388.49,Pm I,RD67
400 P,4389.98,V I,DA78
1,4390.03,Na I,R56
150,4390.44,Ru I,K59
10,4390.572,Mg II,KM91a
400,4390.858,Sm II,K35
250 P,4391.1105,Th II,PE83
500,4391.66,Ce II,C73
12,4391.83,Pt I,MCS75
200,4391.991,Ne II,P71
600,4392.81,Na II,W71
90,4392.974,Th I,PE83
150 h,4393.2,Xe II,H39
1,4393.34,Na I,R56
100,4393.5858,U I,PKE80
20,4393.922,Ti I,F91
20,4394.42,Tm I,SMC73
20,4394.86,Os I,MCS75
30,4395.004,Ti II,HJLW82
300 P,4395.223,V I,DA78
150 l,4395.77,Xe II,H39
14,4396.495,Tm I,SMC73
400 P,4396.71,Ac I,MFT57
200,4397.341,Sm I,K35
150,4397.99,Ne II,P71
200,4398.008,Y II,NJK91
30,4399.9663,Kr I,K93
25,4400.097,Ar II,N73
120,4400.572,V I,DA78
300,4400.77,Pa I,BW92b
100,4400.83,Nd II,MCS75
70,4400.986,Ar II,N73
250,4401.174,Sm I,K35
90,4401.5812,Th I,PE83
300 P,4401.86,Gd I,MCS75
200* d,4403.06,Sm II,K35
200* d,4403.13,Sm I,K35
110,4403.14,Gd I,MCS75
120,4404.7505,Fe I,NJLT94
500,4404.894,Pu I,BFG84
400,4405.12,Na II,W71
40 w,4405.26,Cs II,S81
80,4405.825,Pr II,G90
200,4406.638,V I,DA78
70 l,4406.88,Xe II,H39
250,4407.633,V I,DA78
300 P,4408.195,V I,DA78
400 P,4408.501,V I,DA78
300,4408.82,Pr II,G90
140,4408.8828,Th I,PE83
150,4409.299,Ne II,P71
60,4409.34,Er I,M64b
150,4410.028,Ru I,K59
20,4410.21,Nb I,MCS75
90,4411.06,Nd II,MCS75
110,4411.16,Gd I,MCS75
200,4411.585,Sm I,K35
90 P,4411.695,Mo I,WB88
100 r,4412.47,Pm I,RD67
100,4413.215,Ne II,P71
80,4413.77,Pr II,G90
200,4414.16,Gd I,MCS75
150,4414.73,Gd I,MCS75
13,4414.887,Mn I,CMG64
400 P,4414.905,O II,MKM93
30,4415.1226,Fe I,NJLT94
1000,4415.63,Cd II,SP49
50 l,4416.07,Xe II,H39
50,4416.469,V I,DA78
250,4416.974,O II,MKM93
30,4417.273,Ti I,F91
1000 P,4417.96,Pm II,RCWM80
300,4418.778,Ce II,C73
300,4419.332,Sm I,K35
50,4419.608,Er II,M64b
150 P,4420.47,Os I,MCS75
400,4420.526,Sm II,K35
80,4420.71,P II,M59
250,4421.138,Sm II,K35
100,4421.389,Ne II,P71
50,4421.566,V I,DA78
300 P,4422.41,Gd I,MCS75
1000,4423.011,Bk I,WC78
200,4423.9,La I,MCS75
700 P,4424.339,Sm II,K35
25,4424.571,Er I,M64b
15,4425.1901,Kr I,K93
500 P,4425.441,Ca I,R68
130,4426.001,Ar II,N73
40,4426.002,V I,DA78
25,4426.769,Er I,M64b
110,4427.098,Ti I,F91
60,4427.2979,Fe I,NJLT94
100,4428.516,Ne II,P71
25,4428.517,V I,DA78
100,4428.634,Ne II,P71
250 c,4429.128,Pr II,G90
200,4429.265,Ce II,C73
40,4429.59,Tc I,BMC67
300,4429.664,Sm I,K35
20,4429.8,V I,DA78
200,4429.9,La II,MCS75
50,4430.189,Ar II,N73
250 P,4430.63,Gd I,MCS75
150,4430.904,Ne II,P71
150,4430.942,Ne II,P71
15,4430.996,Ar II,N73
150,4431.685,Kr II,HP70a
400,4432.51,Pm II,RCWM80
15,4433.838,Ar II,N73
400,4433.885,Sm II,K35
400,4434.323,Sm II,K35
30,4434.949,Mo I,WB88
500 P,4434.96,Ca I,R68
"250 P,c,w",4435.56,Eu II,MCS75
500 P,4435.688,Ca I,R68
300,4436.13,Pa I,BW92b
40,4436.133,V I,DA78
100,4436.27,Ra II,R34a
200,4436.812,Kr II,HP70a
11 h,4437.269,Au I,ED71
3,4437.55,He I,M60a
50,4437.83,V I,DA78
25,4439.19,Yb I,MT78
7,4439.461,Ar II,N73
40,4439.745,Ru I,K59
400 s,4441.357,Am II,FT57
70,4441.68,V I,MCS75
130,4441.74,Br I,T63
300,4441.812,Sm I,K35
300,4442.276,Sm I,K35
50,4442.55,Pt I,MCS75
50,4444.192,V I,DA78
400,4445.153,Sm I,K35
500,4445.41,Pm II,RCWM80
9,4445.55,Pt I,MCS75
110,4446.39,Nd II,MCS75
150,4446.527,F II,P69
150,4446.722,F II,P69
600,4446.9,Pm II,RCWM80
30 P,4447.03,N II,M75a
20,4447.18,Nb I,MCS75
200,4447.188,F II,P69
1000,4447.77,Cm I,WHGC76
150 h,4448.13,Xe II,H39
12,4448.879,Ar II,N73
110,4449.143,Ti I,F91
40,4449.322,Ru I,K59
200,4449.322,Ce II,C73
30,4449.705,Dy II,NG00
12,4449.738,Mo I,WB88
140,4449.826,Pr II,G90
200,4450.727,Ce II,C73
70,4450.894,Ti I,F91
250,4451.57,Nd II,MCS75
30,4451.575,Mn I,CMG64
50,4452.006,V I,DA78
300,4452.727,Sm II,K35
110,4453.312,Ti I,F91
40,4453.698,Ti I,F91
100,4453.9175,Kr I,K93
800 P,4453.95,Pm II,RCWM80
300,4454.629,Sm II,K35
600 P,4454.781,Ca I,R68
500,4455.23,Na II,W71
120,4455.317,Ti I,F91
600 P,4455.887,Ca I,R68
400 P,4456.605,Ca I,R68
120,4457.049,Ne II,P71
15,4457.354,Mo I,WB88
140,4457.426,Ti I,F91
30,4457.47,V I,DA78
140,4458.0015,Th I,PE83
10,4458.263,Mn I,CMG64
700,4458.469,As II,LA71
250,4458.517,Sm II,K35
1000 P,4459.16,Cm I,WHGC76
150,4459.25,Rn I,R33
80,4459.752,V I,DA78
100,4460.031,Ru I,K59
700 P,4460.204,Ce II,C73
150,4460.331,V I,DA78
40,4461.6528,Fe I,NJLT94
20,4462.033,Mn I,CMG64
300 h,4462.19,Xe II,H39
50,4462.36,V I,DA78
400 P,4462.73,Ac I,MFT57
140,4462.99,Nd II,MCS75
130,4463.69,Kr I,K93
11,4464.679,Mn I,CMG64
40,4465.805,Ti I,F91
700,4466.348,As II,LA71
1000 P,4466.457,Bk I,WC78
110,4467.08,Gd I,MCS75
500 P,4467.342,Sm II,K35
200,4468.663,Pr II,G90
11,4469.47,Rb II,R75
30,4469.705,V I,DA78
500 P,4470.886,Sm I,K35
30,4471.236,Ti I,F91
400,4471.237,Ce II,C73
200,4471.479,He I,M60a
25,4471.68,He I,M60a
110,4472.101,B II,O70
120,4472.3297,U II,PKE80
130,4472.61,Br I,T63
110,4472.851,B II,O70
300,4473.23,Pm II,RCWM80
150,4474.13,Gd I,MCS75
20,4474.57,Mo I,WB88
30,4474.759,Ar II,N73
250,4475.014,Kr II,HP70a
15,4475.72,Y I,P77
200,4476.12,Gd I,MCS75
20,4476.952,Y I,P77
15,4477.442,Y I,P77
250,4477.72,Br I,T63
800,4478.63,Te II,HM64
200,4478.657,Sm II,K35
200,4479.358,Ce II,C73
150 l,4480.86,Xe II,H39
14 P,4481.126,Mg II,KM91a
70,4481.258,Ti I,F91
60,4481.26,Tm II,MCS75
13 P,4481.325,Mg II,KM91a
40,4481.53,Tc I,BMC67
150 r,4481.6,Pm I,RD67
70,4481.811,Ar II,N73
130,4482.1693,Th I,PE83
5 h,4482.422,Yb I,MT78
200,4483.891,Ce II,C73
70,4484.19,W I,MCS75
250,4486.905,Ce II,C73
120,4487.06,Tc I,BMC67
30,4487.46,Y I,P77
25,4488.253,Au I,ED71
30,4488.889,V I,DA78
30,4489.087,Ti I,F91
130 h,4489.88,Kr II,DHM33
400,4490.87,Na II,W71
140,4493.077,Tb I,B01
300,4493.21,Po I,C66a
1,4494.18,Na I,R56
800,4494.23,As II,LA71
30,4496.145,Ti I,F91
200,4496.456,Pr II,G90
30,4496.85,Cr I,K53
100,4497.13,Gd I,MCS75
1,4497.66,Na I,R56
15,4498.76,Pt I,MCS75
9,4498.897,Mn I,CMG64
200,4498.9401,Th I,PE83
250,4499.108,Sm I,K35
