Intensity,Wavelength (Å),Spectrum,Reference
30,2802.494,Ti I,F91
200,2802.56,U II,BW92b
600 P,2802.7056,Mg II,PTW98
100,2802.81,Tc I,BMC67
30,2802.84,Eu II,MCS75
20,2803.2357,Pt I,SRSA92
40,2804.5203,Fe I,NJLT94
150,2806.3,Ta I,MCS75
200,2806.58,Ta I,MCS75
100 P,2806.91,Os I,MCS75
150,2806.9841,Fe I,NJLT94
130,2807.119,U II,BW92b
30,2807.753,Mo II,SPNL01
100,2809.485,Ne II,P71
500,2809.52,Na II,W71
90,2809.72,Gd II,MCS75
150,2810.551,Ru I,K59
300,2811.61,Tc II,BMC67
1000,2811.618,Cm II,WHGC76
4,2811.75,Eu II,MCS75
40 s,2812.92,Am II,FT57
250,2813.2864,Fe I,NJLT94
150 P,2813.76,Ra II,R34a
60 P,2813.94,Eu II,MCS75
25,2814.2,Os I,MCS75
200,2814.902,Zr I,J98
300* l,2815.15,Es I,WLGC74
"300* P,l",2815.15,Es II,WLGC74
200 l,2815.282,Am II,FT57
130 P,2816.158,Mo II,SPNL01
9,2816.18,Eu II,MCS75
600 P,2816.185,Al II,KM91b
200,2816.9021,Pt II,SRSA92
15,2817.44,Mo II,MCS75
100,2817.68,Hf I,MCS75
130,2817.958,U II,BW92b
90,2818.06,W I,MCS75
10,2818.2,He I,BDD72
30,2818.245,Pt I,SRSA92
200,2819.793,Au II,RW97
15,2819.95,Re I,MCS75
140 P,2820.22,Hf II,MCS75
30,2820.78,Eu II,MCS75
200,2821.121,U II,BW92b
8,2821.152,Yb II,M67
70,2821.35,Tc II,BMC67
9,2822.38,Cr II,K51
1000 P,2822.546,Au II,RW97
60,2822.68,Hf II,MCS75
300,2822.792,Pa II,G67
40,2823.0513,Pt II,SRSA92
40,2823.18,Ir I,MCS75
120 r,2823.189,Pb I,WA68
30,2823.2756,Fe I,NJLT94
1000 P,2824.204,Cm II,WHGC76
9 h,2824.39,Ag I,S40
70,2824.45,Ir I,MCS75
6,2824.974,Yb II,M67
400 h,2825.437,Au II,RW97
60,2825.5557,Fe I,NJLT94
90,2825.557,Zr II,J98
14,2826.16,Tl I,MCS75
20,2826.68,Rh I,MCS75
1000 s,2827.567,Bk II,WC78
70,2827.92,Tm II,MCS75
"7 c,w",2828.72,Eu II,MCS75
140,2828.935,U II,BW92b
4,2829.08,He I,M60a
40,2829.149,Ru I,K59
"300 P,c",2830.2919,Pt I,SRSA92
9,2830.46,Cr II,K51
11,2830.989,Yb II,M67
200 P,2831.38,W I,MCS75
1000 P,2831.843,Ge II,S63a
200,2832.061,U II,BW92b
300 l,2832.14,Pa II,BW92b
"1000 P,s",2832.258,Am II,FT57
200,2832.3154,Th II,PE83
150,2832.4355,Fe I,NJLT94
30,2833.0,Kr II,DHM33
"300 P,r",2833.053,Pb I,WA68
1000 P,2833.58,Cm II,WHGC76
90,2833.63,W I,MCS75
15,2834.7107,Pt I,SRSA92
130 P,2835.63,Cr II,K51
50,2836.4,Ir I,MCS75
500 P,2836.71,C II,MG93
100,2836.9,Cd I,BA56
10 c,2836.92,In I,P38
200,2837.226,Zr I,J98
300 P,2837.2954,Th II,PE83
400 P,2837.603,C II,MG93
120,2837.848,Au II,RW97
20,2838.1194,Fe I,NJLT94
200 P,2838.63,Os I,MCS75
60,2839.16,Ir I,MCS75
400,2839.56,Na II,W71
1000 P,2839.976,Sn I,B64
50,2840.22,Ir I,MCS75
50,2841.57,W I,MCS75
25,2841.6,Os I,MCS75
600,2841.72,Na II,W71
30,2842.4101,Pt II,SRSA92
80,2842.8127,Th II,PE83
100,2842.82,Ta I,MCS75
90 P,2843.24,Cr II,K51
100,2843.9763,Fe I,NJLT94
250,2844.25,Ta I,MCS75
80,2844.4,Os I,MCS75
120,2844.575,Zr II,J98
110 c,2845.35,Ta I,MCS75
1000 P,2845.527,Ge II,S63a
200,2845.83,Hf I,MCS75
2,2846.716,Mg I,KM91a
400,2846.92,Au II,RW97
100 h,2847.16,Ac II,MFT57
13 h,2847.175,Yb II,M67
150,2847.51,Lu II,MCS75
400 P,2847.675,Hg II,SR01
90,2848.02,W I,MCS75
150,2848.0839,Th I,PE83
40,2848.186,Zr II,J98
130 P,2848.233,Mo II,SPNL01
2,2848.342,Mg I,KM91a
6,2848.445,Yb II,M67
200,2848.52,Ta I,MCS75
200 P,2849.72,Ir I,MCS75
60 P,2849.83,Cr II,K51
600 P,2850.49,Ta I,MCS75
50,2850.76,Os I,MCS75
120,2850.96,Hf I,MCS75
700 P,2850.98,Ta I,MCS75
20,2851.126,Yb II,M67
3,2851.66,Mg I,KM91a
80,2851.7969,Fe I,NJLT94
1000 l,2852.03,Cf II,RCWM80
1000 P,2852.1251,Mg I,PTW98
5 P,2852.81,Na I,R56
2 P,2853.01,Na I,R56
30,2853.23,Mo II,MCS75
60,2854.075,Ru I,K59
20,2854.166,Tm I,SMC73
40 P,2854.5776,Pd II,LLJ94
1000 s,2855.24,Cf II,RCWM80
50 P,2855.67,Cr II,K51
80,2856.03,W I,MCS75
2 c,2858.14,In I,P38
500,2858.29,Te II,HM64
30,2858.91,Cr II,K51
200 c,2859.11,Tc I,BMC67
6,2859.392,Yb II,M67
400,2859.49,Na II,W71
4,2859.67,Eu II,MCS75
25,2859.805,Yb II,M67
"1000 P,r",2860.44,As I,HA85
25,2860.92,Cr II,K51
50,2860.96,Os I,MCS75
90,2861.01,Hf II,MCS75
8,2861.212,Yb II,M67
6,2861.34,Yb II,M67
40,2861.408,Ru I,K59
90,2861.7,Hf II,MCS75
140,2861.98,Ta I,MCS75
5,2862.57,Eu II,MCS75
40 P,2862.57,Cr II,K51
30,2862.94,Rh I,MCS75
700 P,2863.315,Sn I,B64
30,2863.81,Mo II,MCS75
20,2864.361,V I,DA78
70,2864.73,Xe II,H39
40 P,2865.1,Cr II,K51
200,2865.681,U II,BW92b
80,2866.06,W I,MCS75
1000 P,2866.37,Hf I,MCS75
50,2866.653,Ru I,K59
15,2866.69,Mo II,MCS75
30,2866.72,Cr II,K51
11,2867.06,Yb II,M67
25,2867.65,Cr II,K51
20,2868.095,V I,DA78
150,2868.515,Nb II,RCL00
120,2868.65,Ta I,MCS75
200,2869.23,Tm II,MCS75
300,2870.005,Pa II,G67
130,2870.4066,Th II,PE83
11,2870.43,Cr II,K51
400,2871.28,Na II,W71
300 h,2871.413,Pa II,G67
200,2871.42,Ta I,MCS75
130 P,2871.512,Mo II,SPNL01
1000 l,2872.114,Bk II,WC78
120 r,2873.311,Pb I,WA68
100,2873.36,Ta I,MCS75
100,2873.56,Ta I,MCS75
400 P,2874.235,Ga I,JL67
110,2874.9196,Pt II,SRSA92
150,2874.984,Ru I,K59
250 P,2875.39,Nb II,RCL00
1000 P,2875.6314,Pt II,SRSA92
15,2875.97,Cr II,K51
140,2875.98,Zr I,J98
12,2876.24,Cr II,K51
150,2877.038,Nb II,RCL00
400,2877.1,Cu II,R69
40,2877.2783,Pt II,SRSA92
"400 P,r",2877.913,Sb I,SM02
9,2877.97,Cr II,K51
"1000 P,s",2878.572,Bk II,WC78
15,2879.05,Mo II,MCS75
70,2879.11,W I,MCS75
70,2879.4,W I,MCS75
7,2879.482,Mn II,IV64
150,2880.02,Ta I,MCS75
100 r,2880.767,Cd I,BA56
30,2880.98,Ho II,MCS75
500,2881.15,Na II,W71
1000 P,2881.5771,Si I,BE93
130,2881.6,Pr I,MCS75
50,2882.64,Ir I,MCS75
150 P,2883.174,Nb II,RCL00
25,2883.446,Au I,ED71
80,2884.2897,Th II,PE83
1000 l,2884.772,Bk II,WC78
90,2885.0491,Th II,PE83
80 h,2885.14,Lu I,MCS75
500,2886.26,Na II,W71
70,2886.528,Ru I,K59
8,2886.995,Cr I,K53
50,2887.68,Re I,MCS75
100,2887.73,Tc I,BMC67
90,2887.8176,Th II,PE83
11,2888.04,Yb II,M67
200 l,2888.505,Am II,FT57
40,2889.294,Cr I,K53
13,2889.6,Mn II,IV64
400,2889.62,Hf I,MCS75
250,2889.624,U II,BW92b
1000 s,2889.803,Bk II,WC78
"7 P,d",2890.179,In II,PC38
70,2890.94,Tm II,MCS75
100,2890.994,Mo II,SPNL01
300 h,2891.139,Pa II,G67
200 P,2891.384,Yb II,M67
8,2891.612,Ar II,N73
250,2891.644,V II,ICL88
300,2891.84,Ta I,MCS75
25,2891.961,Au I,ED71
140,2892.433,V II,ICL88
20,2892.502,Eu I,ST76
250,2892.652,V II,ICL88
13,2893.013,Eu I,ST76
400 P,2893.247,Au II,RW97
20,2893.254,Cr I,K53
400 P,2893.307,V II,ICL88
1000 s,2893.66,Bk II,WC78
30,2893.838,Eu I,ST76
130 P,2893.863,Pt I,SRSA92
10,2894.168,Cr I,K53
70,2894.451,Mo II,SPNL01
400 P,2894.84,Lu II,MCS75
50 h,2895.22,Xe II,H39
800,2895.41,Te II,HM64
50,2896.01,W I,MCS75
100,2896.34,Tc I,BMC67
150 P,2896.44,W I,MCS75
10,2896.756,Cr I,K53
40,2897.15,Ir I,MCS75
140,2897.806,Nb II,RCL00
60,2897.8715,Pt I,SRSA92
500 P,2897.965,Bi I,WBBF01
800 P,2898.26,Hf I,MCS75
100,2899.04,Ta I,MCS75
40,2899.3861,Pt II,SRSA92
40 l,2899.562,Am II,FT57
1000,2899.904,Cm II,WHGC76
7,2900.154,Mn II,IV64
250 P,2900.3,Lu II,MCS75
500,2901.14,Na II,W71
200,2902.05,Ta I,MCS75
15 c,2902.48,Re I,MCS75
20,2903.07,Mo II,MCS75
50,2904.283,Si II,S61b
500 P,2904.41,Hf I,MCS75
90,2904.469,Er II,M64b
400,2904.72,Na II,W71
400,2904.75,Hf I,MCS75
600,2904.92,Na II,W71
9,2905.477,Cr I,K53
80,2905.692,Si II,S61b
8,2905.8974,Pt I,SRSA92
250,2906.454,V II,ICL88
80,2906.592,Ne II,P71
50 P,2906.68,Eu II,MCS75
150,2906.794,U II,BW92b
80,2906.816,Ne II,P71
300 h,2906.93,Pa II,BW92b
300,2907.03,Es,WLGC74
20,2907.042,Au II,RW97
15,2907.21,Rh I,MCS75
130,2907.462,V II,ICL88
140,2908.24,Nb II,RCL00
150,2908.272,U II,BW92b
600 P,2908.81,V II,ICL88
30,2908.883,Ru I,K59
15,2908.993,Eu I,ST76
13,2909.049,Cr I,K53
300 P,2909.06,Os I,MCS75
40,2909.117,Mo II,SPNL01
40 c,2909.41,Ho II,MCS75
10,2909.82,Re I,MCS75
200,2910.016,V II,ICL88
90,2910.061,Ne II,P71
300 P,2910.15,Rh II,S58
140,2910.359,Er II,M64b
140,2910.385,V II,ICL88
90,2910.408,Ne II,P71
200,2910.587,Nb II,RCL00
1000 l,2910.645,Bk II,WC78
13,2910.892,Cr I,K53
150,2911.058,V II,ICL88
40 l,2911.13,Am II,FT57
80,2911.138,Ne II,P71
12,2911.148,Cr I,K53
500 P,2911.39,Lu II,MCS75
140 c,2911.743,Nb II,RCL00
80,2911.917,Mo II,SPNL01
60,2912.083,Ti I,F91
15,2912.2515,Pt I,SRSA92
70,2912.33,Os I,MCS75
1000 P,2912.965,Cm II,WHGC76
100,2913.15,Tc I,BMC67
40,2913.517,Au II,RW97
15,2913.5386,Pt I,SRSA92
140,2913.559,Sn I,B64
9,2914.21,Yb II,M67
200,2914.672,Cd II,SP49
30,2914.926,V I,DA78
80,2915.122,Ne II,P71
8,2915.275,Yb II,M67
120,2915.49,Ta I,MCS75
30,2916.25,Hg II,SR01
100,2916.251,Ru I,K59
900 P,2916.48,Hf I,MCS75
20,2917.26,Os I,MCS75
600,2917.52,Na II,W71
700,2918.076,B II,O70
400 P,2918.235,Au II,RW97
140 P,2918.32,Tl I,MCS75
250,2918.58,Hf I,MCS75
600,2919.05,Na II,W71
15,2919.346,Yb II,M67
40,2919.59,Hf II,MCS75
70,2919.79,Os I,MCS75
700,2919.85,Na II,W71
200 s,2920.593,Am II,FT57
700,2920.95,Na II,W71
7,2921.3792,Pt I,SRSA92
20,2921.52,Tl I,MCS75
100,2923.392,Mo II,SPNL01
600,2923.49,Na II,W71
60,2923.619,V I,DA78
600 P,2924.017,V II,ICL88
20,2924.02,Rh I,MCS75
400 P,2924.63,V II,ICL88
250 P,2924.79,Ir I,MCS75
14,2925.04,Eu II,MCS75
150,2925.19,Ta I,MCS75
80,2925.618,Ne II,P71
1000 s,2926.489,Bk II,WC78
80,2926.74,Tm II,MCS75
15 c,2927.42,Re I,MCS75
40 l,2927.534,Am II,FT57
300 P,2927.814,Nb II,RCL00
1000 s,2927.907,Bk II,WC78
100,2928.2,Tc I,BMC67
40,2928.327,Ti I,F91
1000 P,2928.922,Cm II,WHGC76
200,2929.271,Cd II,SP49
60,2929.63,Hf II,MCS75
400 P,2929.7894,Pt I,SRSA92
200,2929.9,Hf I,MCS75
80,2930.502,Mo II,SPNL01
200,2930.805,V II,ICL88
15,2931.08,Cs II,S81
20,2931.28,Os I,MCS75
120,2931.414,U II,BW92b
80 w,2932.103,Ne II,P71
60 P,2932.63,In I,P38
120,2932.7,Ta I,MCS75
90 P,2933.054,Mn II,KG00
500,2933.298,Pu II,BFG84
700 P,2933.55,Ta I,MCS75
700 P,2933.602,Pu II,BFG84
60,2934.0209,Ag II,KLLT02
60,2934.298,Mo II,SPNL01
70,2934.64,Ir I,MCS75
80,2935.0,W I,MCS75
70,2935.99,Tm II,MCS75
150,2936.0846,Th I,PE83
50,2936.68,Ir I,MCS75
120,2936.9033,Fe I,NJLT94
40 l,2936.992,Am II,FT57
500,2937.74,Na II,W71
80,2937.8,Hf II,MCS75
400 P,2938.297,Bi I,WBBF01
2,2938.473,Mg I,KM91a
120 P,2939.308,Mn II,KG00
200,2940.06,Ta I,MCS75
500,2940.22,Ta I,MCS75
9 h,2940.331,Mn I,CMG64
80,2940.653,Ne II,P71
900 P,2940.77,Hf I,MCS75
6 P,2941.05,In II,PC38
250,2941.372,V II,ICL88
120,2941.499,V II,ICL88
250,2941.543,Nb II,RCL00
1000 l,2941.713,Bk II,WC78
250,2941.916,U II,BW92b
90,2942.14,Ta I,MCS75
20,2942.319,V I,DA78
20,2942.388,V I,DA78
80,2942.86,Th II,PE83
70,2942.893,Ar II,N73
8,2943.14,Re I,MCS75
150,2943.15,Ir I,MCS75
20,2943.189,V I,DA78
600 P,2943.636,Ga I,JL67
150,2943.7288,Th I,PE83
150,2943.896,U II,BW92b
60,2943.912,Ni I,LBT93
200 P,2944.173,Ga I,JL67
300 P,2944.4,W I,MCS75
300,2944.569,V II,ICL88
10,2945.11,He I,M60a
250,2945.67,Ru II,MCS75
8,2945.907,Yb II,M67
90,2946.044,Ne II,P71
300 P,2946.99,W I,MCS75
25,2947.074,Hg II,SR01
60,2947.39,W I,MCS75
500,2947.5,Na II,W71
100,2947.876,Fe I,NJLT94
40 h,2948.23,Os I,MCS75
150,2948.242,Ti I,F91
40,2948.406,Y I,P77
150 P,2949.205,Mn II,KG00
30,2949.492,Ru I,K59
50,2949.53,Os I,MCS75
20,2949.629,V I,DA78
100 l,2950.393,Am II,FT57
500,2950.68,Hf I,MCS75
300 P,2950.882,Nb II,RCL00
70,2951.22,Ir I,MCS75
700,2951.24,Na II,W71
"1000 P,l",2951.761,Bk II,WC78
700 P,2951.82,Pu II,BFG84
200,2951.92,Ta I,MCS75
150,2952.068,V II,ICL88
13,2952.268,W II,EKM00
600,2952.4,Na II,W71
"3 c,w",2952.68,Eu II,MCS75
130,2953.56,Ta I,MCS75
60,2953.9399,Fe I,NJLT94
500,2954.2,Hf I,MCS75
200,2954.222,Au II,RW97
150,2955.725,Ne II,P71
20,2956.057,Mo II,SPNL01
120,2956.06,U II,BW92b
200,2956.123,Ti I,F91
1 c,2957.01,In I,P38
250,2958.02,Hf I,MCS75
250,2958.92,Po I,C66a
4,2960.21,Eu II,MCS75
7,2960.7494,Pt I,SRSA92
90,2960.867,Zr I,J98
250,2961.16,Cu I,S48
20,2962.15,Os I,MCS75
30,2962.781,V I,DA78
150,2963.236,Ne II,P71
250 P,2963.32,Lu II,MCS75
600 P,2963.32,Ta I,MCS75
20,2963.797,Mo II,SPNL01
50,2964.52,W I,MCS75
140,2964.52,Er II,M64b
700 P,2964.644,Pu II,BFG84
7,2964.755,Yb II,M67
600,2964.88,Hf I,MCS75
40,2964.964,Y I,P77
13,2965.11,Re I,MCS75
300,2965.13,Ta II,MCS75
50,2965.166,Ru I,K59
300,2965.54,Ta I,MCS75
200,2965.55,Ru II,MCS75
25,2965.76,Re I,MCS75
15,2965.879,Sc I,AV77
200 l,2966.712,Am II,FT57
700,2966.843,Pu II,BFG84
150,2966.8982,Fe I,NJLT94
300,2966.93,Hf I,MCS75
150,2967.184,Ne II,P71
25,2967.225,Ti I,F91
250 P,2967.28,Hg I,BAL50
400,2967.29,Te II,HM64
25,2967.64,Cr I,K53
120,2967.936,U II,BW92b
150,2968.374,V II,ICL88
25,2968.66,Rh I,MCS75
80,2968.81,Hf II,MCS75
700 P,2969.035,Pu II,BFG84
1000 l,2969.125,Bk II,WC78
200 l,2969.292,Am II,FT57
130,2969.47,Ta I,MCS75
130,2969.82,Lu II,MCS75
80,2970.0994,Fe I,NJLT94
110 P,2970.564,Yb II,M67
25,2970.97,Os I,MCS75
120,2971.066,U II,BW92b
25,2971.102,Cr I,K53
11,2971.9,Cr II,K51
500 h,2972.26,Br II,R58
90,2972.29,O I,HHMR86
700 P,2972.5,Pu II,BFG84
120,2972.571,Nb II,RCL00
20,2972.611,Mo II,SPNL01
100,2972.997,Ne II,P71
25,2973.0,Ho II,MCS75
120,2973.1323,Fe I,NJLT94
50,2973.218,Tm I,SMC73
50,2973.2354,Fe I,NJLT94
50,2974.01,Sc I,AV77
100,2974.094,Nb II,RCL00
50,2974.588,Y I,P77
30,2974.7189,Ne I,SS04
25,2975.478,Cr I,K53
150,2975.56,Ta I,MCS75
100,2975.88,Hf II,MCS75
200 P,2976.584,Ru II,JJLL94
50,2976.923,Ru I,K59
60,2977.11,W I,MCS75
600,2977.13,Na II,W71
20,2977.54,V I,DA78
15,2977.68,Rh I,MCS75
30,2979.05,Ar II,N73
130,2979.32,Xe II,H39
100,2979.461,Ne II,P71
25 c,2979.63,Ho II,MCS75
600,2979.66,Na II,W71
80 d,2979.71,W I,MCS75
10,2979.73,Cr II,K51
700,2980.227,Pu II,BFG84
500 r,2980.62,Cd I,BA56
600,2980.63,Na II,W71
60,2980.755,Sc I,AV77
20,2980.784,Cr I,K53
500,2980.81,Hf I,MCS75
100 r,2981.362,Cd I,BA56
60,2981.4451,Fe I,NJLT94
60,2981.48,Tm II,MCS75
70,2981.646,Ni I,LBT93
30,2982.6696,Ne I,SS04
20,2982.9,Os I,MCS75
100,2983.5696,Fe I,NJLT94
11,2983.99,Yb II,M67
700,2984.19,Na II,W71
80,2984.254,Y I,P77
250,2985.388,Zr I,J98
25,2985.849,Cr I,K53
80,2986.01,Cr I,K53
50,2986.2,Rh I,MCS75
100,2986.466,Cr I,K53
200 s,2987.238,Am II,FT57
25,2987.64,Ho II,MCS75
150,2987.645,Si I,RA65
1000 l,2987.755,Bk II,WC78
90,2988.2318,Th II,PE83
30,2988.638,Cr I,K53
130,2988.945,Ru I,K59
15,2988.965,Sc I,AV77
300 P,2989.019,Bi I,GMV85
250,2989.27,Lu I,MCS75
200 h,2990.268,Au II,RW97
100,2990.278,Nb II,RCL00
70,2990.54,Tm II,MCS75
5,2991.33,Eu II,MCS75
60,2991.4665,Pt II,SRSA92
25,2991.877,Cr I,K53
30,2992.36,Re I,MCS75
60,2992.592,Ni I,LBT93
400 h,2992.618,C II,MG93
80 P,2993.336,Bi I,GMV85
100 l,2993.508,Am II,FT57
50,2993.61,W I,MCS75
700,2994.046,Pu II,BFG84
12,2994.06,Cr I,K53
130,2994.17,Ac II,MFT57
100,2994.4268,Fe I,NJLT94
120,2994.453,Ni I,LBT93
140,2994.728,Nb II,RCL00
400 P,2994.8,Au II,RW97
9,2994.805,Yb II,M67
40,2994.967,Ru I,K59
15,2995.094,Cr I,K53
1000,2996.18,Cm II,WHGC76
700,2996.406,Pu II,BFG84
40,2996.571,Cr I,K53
"600 P,c",2997.9622,Pt I,SRSA92
10,2998.783,Cr I,K53
140,2999.04,Gd II,MCS75
1000,2999.385,Cm I,WHGC76
50,2999.5117,Fe I,NJLT94
100 P,2999.6,Re I,MCS75
