Intensity,Wavelength (Å),Spectrum,Reference
600 P,2079.12,W II,EKM00
500 P,2079.97,Os I,MCS75
250 P,2081.172,Te I,MV75
120 P,2081.681,Mo II,SPNL01
400 P,2082.077,Au II,RW97
100,2082.54,Os I,MCS75
200,2083.22,Ir I,MCS75
250,2083.78,Ru I,K59
50,2084.596,Pt I,SRSA92
150,2085.466,Ne II,P71
200 P,2085.59,Re I,MCS75
200,2085.74,Ir I,MCS75
150,2086.021,Ge I,AM59
200,2088.204,W II,EKM00
1000 P,2088.82,Ir I,MCS75
400 P,2088.889,B I,JLKK93
100,2089.03,Os I,MCS75
140,2089.156,W II,EKM00
100,2089.21,Os I,MCS75
60 P,2089.52,Mo II,MCS75
500 P,2089.57,B I,JLKK93
200,2090.22,Ru I,K59
11,2090.29,Rb II,R75
200,2090.48,W I,MCS75
1000 P,2090.771,Ga II,IL85
200 P,2091.59,Sn I,B64
60,2092.159,Mn I,CMG64
60 P,2092.5,Mo II,MCS75
800,2092.63,Ir I,MCS75
100 P,2093.11,Mo II,MCS75
"800 P,r",2094.258,Ge I,AM59
700,2094.264,Al II,KM91b
400 P,2094.751,W II,EKM00
200,2096.106,Ne II,P71
140,2096.18,Hf II,MCS75
120,2096.248,Ne II,P71
200 P,2097.12,Re I,MCS75
200,2097.4478,Pt II,SRSA92
200,2097.6,Os I,MCS75
20 r,2098.424,Sb I,SM02
150,2098.602,W II,EKM00
1000 P,2099.9273,Zn II,GL00
200,2100.63,Os I,MCS75
140,2100.675,W II,EKM00
70 P,2100.84,Mo II,MCS75
150,2101.54,W I,MCS75
50,2101.5979,Pt II,SRSA92
10,2101.6839,Pt I,SRSA92
10,2101.6839,Pt I,SRSA92
200,2102.1661,Zn II,GL00
70,2103.3449,Pt I,SRSA92
30,2103.7804,Pt II,SRSA92
30,2103.7804,Pt II,SRSA92
40,2104.29,Mo II,MCS75
90,2105.824,Ge I,AM59
90,2106.187,W II,EKM00
40,2108.02,Mo II,MCS75
50,2109.22,Re I,MCS75
600 P,2109.4384,Nb II,RCL00
60,2109.585,Mn I,CMG64
8,2109.6631,Pt I,SRSA92
200 P,2110.217,Bi I,WBBF01
80,2110.323,W II,EKM00
500 P,2110.685,Au II,RW97
150,2112.68,Ir I,MCS75
"300 P,r",2113.825,Ag II,KLLT02
60,2115.5823,Pt II,SRSA92
140 P,2116.67,Yb II,M67
70,2117.66,Os I,MCS75
150,2117.96,Os I,MCS75
130,2118.874,W II,EKM00
250,2119.79,Os,MCS75
150,2121.576,W II,EKM00
70,2123.84,Os I,MCS75
500,2125.2164,Nb II,RCL00
11,2125.25,Rb II,R75
300,2126.5498,Nb II,RCL00
150 P,2126.74,Yb II,M67
800 P,2126.81,Ir II,KM78
80,2127.4231,Pt II,SRSA92
250,2127.94,Ir I,MCS75
25,2128.5878,Pt I,SRSA92
90,2128.634,Pt I,SRSA92
60,2130.7079,Pt II,SRSA92
500,2131.1832,Nb II,RCL00
120,2133.6,Bi I,WBBF01
7,2135.1631,Pt I,SRSA92
200 P,2135.465,P I,S80
600 P,2135.981,Cu II,R69
400 P,2136.182,P I,S80
200,2137.11,Os I,MCS75
1000 P,2138.5735,Zn I,GL00
600 P,2139.04,Re II,MCS75
"40 P,r",2139.698,Sb I,SM02
500,2140.13,Ta II,MCS75
250 P,2142.74,Re II,MCS75
700 P,2142.822,Te I,MV75
300,2143.83,Rb II,R75
130 u,2144.2123,Pt I,SRSA92
900 P,2144.2458,Pt II,SRSA92
"1000 P,r",2144.408,Cd II,SP49
"40 P,r",2144.841,Sb I,SM02
600 P,2146.87,Ta II,MCS75
120 P,2147.26,Te I,MV75
200,2148.22,Ir I,MCS75
400 P,2149.145,P I,S80
80,2149.97,Os,MCS75
150,2150.54,Ir I,MCS75
300,2150.62,Ta II,MCS75
80 P,2150.844,Sn II,B64
600 P,2152.68,Ir II,KM78
30 P,2152.84,Sr II,MCS75
150 P,2152.94,P I,S80
50,2153.558,W II,EKM00
300 P,2154.08,P I,S80
90,2154.59,Os I,MCS75
150,2155.81,Ir I,MCS75
70,2156.67,Re I,MCS75
50,2157.796,W II,EKM00
40,2157.84,Os I,MCS75
500 P,2158.05,Ir I,MCS75
40,2158.53,Os I,MCS75
14,2159.864,Te I,MV75
80,2161.0,Os,MCS75
20,2161.6,Yb II,M67
800 P,2162.25,At I,M64a
120,2162.88,Ir I,MCS75
600 P,2164.188,Se I,LP77
250,2165.01,Ta II,MCS75
130 P,2165.09,Cu I,S48
20,2165.2108,Pt I,SRSA92
150 P,2165.553,Ni II,S70
30 P,2165.96,Sr II,MCS75
90,2166.316,W II,EKM00
110,2166.9,Os I,MCS75
40,2167.75,Os I,MCS75
90 P,2167.94,Re I,MCS75
300,2169.096,Ni II,S70
1000 P,2169.42,Ir II,MCS75
"150 P,r",2170.005,Pb I,WA68
100,2170.855,Sb II,AJK89
70,2171.65,Os I,MCS75
300 P,2174.666,Ni II,S70
200,2174.6853,Pt I,SRSA92
50 c,2174.986,Be I,KM97
60,2175.103,Be I,KM97
250,2175.147,Ni II,S70
250,2175.24,Ir I,MCS75
"600 P,r",2175.818,Sb I,SM02
60,2176.21,Re I,MCS75
300,2178.03,Ta II,MCS75
30,2178.0808,Fe I,NJLT94
150,2178.17,Ir I,MCS75
150 P,2178.94,Cu I,S48
"100 P,r",2179.19,Sb I,SM02
500,2179.41,Cu II,R69
130,2180.473,Ni II,S70
11,2180.5042,Pt I,SRSA92
150 P,2181.72,Cu I,S48
500,2182.71,Ta II,MCS75
60,2182.9,W I,MCS75
130,2184.605,Ni II,S70
30,2184.68,Os I,MCS75
400 P,2185.504,Ni II,S70
50 P,2185.71,Yb II,M67
600 P,2186.93,Bi II,DLW02
300,2187.43,Ir II,MCS75
500,2189.63,Cu II,R69
200,2190.0,K II,D26
100,2190.3216,Pt II,SRSA92
200,2190.38,Ir II,MCS75
500 P,2192.09,Ni II,S70
600 P,2192.268,Cu II,R69
200,2193.2,Ta II,MCS75
200,2193.605,Co II,PRUJ98
500,2193.88,Ta II,MCS75
110 P,2194.39,Os II,MCS75
30,2194.528,W II,EKM00
1000,2194.557,Cd II,SP49
"90 P,h",2195.54,Lu II,MCS75
600 P,2196.03,Ta II,MCS75
"130 P,r",2198.714,Ge I,AM59
200 P,2199.346,Sn I,B64
150,2199.58,Cu I,S48
600 P,2199.67,Ta II,MCS75
100,2201.409,Ni II,S70
30,2202.223,Pt I,SRSA92
40,2202.4664,Pt II,SRSA92
500 P,2203.534,Pb II,WRSH74
80 P,2204.483,W II,EKM00
500 P,2204.96,Ir II,KM78
800 P,2205.548,Ni II,S70
700 P,2206.715,Ni II,S70
200,2207.14,Ta II,MCS75
400 P,2207.978,Si I,RA65
150,2208.09,Ir II,MCS75
"120 P,r",2208.43,Sb I,SM02
11,2208.806,Mn I,CMG64
40,2209.5043,Pt II,SRSA92
300 P,2209.66,Sn I,B64
"600* P,d",2210.03,Ta II,MCS75
600* P,2210.19,Ta II,MCS75
500,2210.268,Cu II,R69
5 r,2210.71,Tl I,C52
60,2210.82,Hf II,MCS75
500 P,2210.894,Si I,RA65
300 P,2211.744,Si I,RA65
20,2213.855,Mn I,CMG64
400 h,2214.031,Bi II,DLW02
"1000 P,c",2214.2749,Re II,WJLG97
40,2214.58,Re I,MCS75
150,2214.58,Cu I,S48
15,2215.63,Te I,MV75
1000 P,2216.482,Ni II,S70
500 P,2216.669,Si I,RA65
110,2217.08,Rb II,R75
400 P,2218.057,Si I,RA65
500 P,2218.108,Cu II,R69
80,2220.37,Ir I,MCS75
130,2220.402,Ni II,S70
30,2221.837,Mn I,CMG64
13,2222.6134,Pt I,SRSA92
150,2222.957,Ni II,S70
40 P,2224.46,Yb II,M67
20,2224.711,Hg II,SR01
120,2225.0094,Pt II,SRSA92
200 P,2225.7,Cu I,S48
30,2226.42,Re I,MCS75
150,2227.78,Cu I,S48
120 P,2228.203,Bi I,WBBF01
200,2228.915,Au II,RW97
250 P,2230.08,Cu I,S48
600 P,2230.602,Bi I,WBBF01
400 P,2231.5907,Pd II,LLJ94
40,2232.9725,Pt II,SRSA92
40,2234.61,Os I,MCS75
12,2234.9262,Pt I,SRSA92
15,2235.44,Re I,MCS75
600 P,2239.48,Ta II,MCS75
600 P,2240.8965,Pt II,SRSA92
40,2241.2288,Pt II,SRSA92
600,2242.618,Cu II,R69
400 P,2242.69,Ir II,KM78
25,2243.045,Y II,NJK91
300,2243.4485,Ag II,KLLT02
1000 P,2244.01,At I,M64a
250 P,2244.26,Cu I,S48
14,2244.9773,Pt I,SRSA92
400 P,2245.5244,Pt II,SRSA92
300 P,2246.057,Sn I,B64
"700 P,r",2246.412,Ag II,KLLT02
300 P,2246.5216,Pt II,SRSA92
700 P,2247.002,Cu II,R69
40,2247.4822,Pt II,SRSA92
400,2248.562,Au II,RW97
"300 P,r",2248.749,Ag II,KLLT02
30 P,2248.758,W II,EKM00
15,2249.3075,Pt I,SRSA92
60,2249.3075,Pt II,SRSA92
200,2249.79,Ta II,MCS75
50,2249.8,W I,MCS75
11,2249.8994,Pt I,SRSA92
500,2250.76,Ta II,MCS75
50,2251.5105,Pt II,SRSA92
30,2251.8084,Pt II,SRSA92
40,2252.15,Os I,MCS75
10,2252.786,Hg II,SR01
120,2253.38,Ir I,MCS75
40,2254.01,Hf II,MCS75
120,2255.1,Ir I,MCS75
5,2255.507,Te I,MV75
60,2255.53,Ru I,K59
8,2255.73,Re I,MCS75
80,2255.81,Ir I,MCS75
250 P,2255.85,Os II,MCS75
15,2256.19,Re I,MCS75
200,2256.745,Co II,PRUJ98
90,2256.76,La II,MCS75
200,2258.71,Ta II,MCS75
80,2258.86,Ir I,MCS75
20 P,2259.034,Te I,MV75
30,2259.5103,Fe I,NJLT94
60,2260.294,Hg II,SR01
400,2261.42,Ta II,MCS75
400 P,2262.223,Hg II,SR01
400,2262.3,Ta II,MCS75
120 r,2262.483,Sb I,SM02
600 P,2262.7185,Pt II,SRSA92
200,2263.08,Cu I,S48
700 P,2263.627,Au II,RW97
10,2263.634,Hg II,SR01
50,2263.8611,Pt II,SRSA92
40,2264.39,Re I,MCS75
150,2264.461,Ni II,S70
50,2264.6,Os I,MCS75
50,2264.61,Ir I,MCS75
1000 P,2265.018,Cd II,SP49
5,2265.536,Te I,MV75
80 P,2266.016,Sn II,B64
60,2266.33,Ir I,MCS75
15,2267.65,Cs II,S81
15,2268.8384,Pt I,SRSA92
60,2268.9,Ir I,MCS75
300 P,2268.93,Sn I,B64
40 P,2269.096,Al I,KM91b
20,2269.69,Mo II,MCS75
30,2270.17,Os I,MCS75
300 P,2270.214,Ni II,S70
40,2271.6194,Pt II,SRSA92
300,2271.85,Ta II,MCS75
70,2272.091,Ru I,K59
400,2272.59,Ta II,MCS75
8,2273.84,Cs II,S81
50,2274.3816,Pt I,SRSA92
40,2274.62,Re I,MCS75
12,2274.8409,Pt I,SRSA92
"900 P,c",2275.2532,Re II,WJLG97
120,2275.462,Ca I,R68
70,2277.16,Hf II,MCS75
130,2277.282,Ni II,S70
60,2277.58,W I,MCS75
130,2278.77,Ni II,S70
70,2279.582,Ru I,K59
80,2279.85,Ta I,MCS75
25,2279.967,Ti I,F91
300 P,2279.9812,Ag II,KLLT02
150 P,2281.02,Ir II,MCS75
70,2281.1942,Pt II,SRSA92
30,2281.62,Re I,MCS75
200 P,2282.26,Os II,MCS75
200,2283.522,Co II,PRUJ98
30,2283.67,Os I,MCS75
300,2285.25,Ta II,MCS75
1000 P,2286.159,Co II,PRUJ98
40,2286.439,Pt II,SRSA92
250,2286.59,Ta II,MCS75
300,2286.681,Sn I,B64
60,2287.3643,Pt II,SRSA92
50,2287.51,Re I,MCS75
"800 P,r",2288.022,Cd I,BA56
"50 P,r",2288.12,As I,HA85
400 P,2288.205,Pt II,SRSA92
400,2289.16,Ta II,MCS75
15,2289.2765,Pt I,SRSA92
200,2289.987,Ni I,LBT93
60,2291.71,Rb II,R75
200,2291.991,Co II,PRUJ98
60,2292.3987,Pt I,SRSA92
30,2292.5249,Fe I,NJLT94
300,2293.39,Co II,PRUJ98
250,2293.84,Cu I,S48
50,2294.49,Re I,MCS75
60 d,2294.49,W I,MCS75
110,2295.68,Nb II,RCL00
700 P,2296.5164,Pd II,LLJ94
50,2298.05,Ir I,MCS75
1000 P,2298.058,Tl II,JKBL96
60,2298.09,Re II,MCS75
60,2298.1689,Fe I,NJLT94
7,2299.77,Re I,MCS75
30,2300.1418,Fe I,NJLT94
50,2300.5,Ir I,MCS75
80,2300.781,Ni I,LBT93
300,2301.403,Co II,PRUJ98
30,2302.3068,Pt II,SRSA92
11,2302.99,Re I,MCS75
150,2302.996,Ni II,S70
150,2304.22,Ir I,MCS75
20 P,2304.247,Ba II,KL99
250,2304.684,Au II,RW97
25,2305.674,Ti I,F91
"6 P,c",2306.046,In II,"PC38,B69"
120 r,2306.507,Sb I,SM02
12,2306.54,Re I,MCS75
1,2306.86,In I,P38
800 P,2307.86,Co II,PRUJ98
25,2308.0437,Pt I,SRSA92
25,2308.31,Os I,MCS75
50,2308.93,Ir I,MCS75
120,2309.01,Co I,PT96
250 P,2310.961,Ni I,LBT93
500 P,2310.9626,Pt II,SRSA92
"1000 P,r",2311.463,Sb I,SM02
500 P,2311.604,Co II,PRUJ98
200,2312.344,Ni I,LBT93
1000 P,2312.766,Cd II,SP49
50,2313.17,W I,MCS75
150,2313.656,Ni I,LBT93
25,2313.75,Os II,MCS75
150,2313.983,Ni I,LBT93
500 P,2314.056,Co II,PRUJ98
300,2314.975,Co II,PRUJ98
9,2315.5024,Pt I,SRSA92
150,2315.65,Na II,W71
7,2315.98,Tl I,MCS75
150 P,2316.039,Ni II,S70
200,2317.0342,Ag II,KLLT02
200,2317.07,Co II,PRUJ98
150,2317.165,Ni I,LBT93
400,2317.23,Sn I,B64
500 h,2317.3,Br II,R58
40,2317.784,Ru I,K59
40,2318.2969,Pt I,SRSA92
30,2319.8869,Pt II,SRSA92
300 P,2320.034,Ni I,LBT93
"400 P,r",2320.2451,Ag II,KLLT02
8,2320.81,Yb II,M67
200,2321.074,Cd II,SP49
250,2321.383,Ni I,LBT93
50,2321.63,W I,MCS75
70,2322.47,Hf II,MCS75
15,2322.49,Re I,MCS75
40,2322.58,Rh I,MCS75
110,2323.145,Co I,PT96
40,2323.25,Hf II,MCS75
300,2324.321,Co II,PRUJ98
"300 P,r",2324.667,Ag II,KLLT02
40,2324.89,Hf II,MCS75
150,2325.802,Ni I,LBT93
200,2326.1,Co II,PRUJ98
30,2326.3386,Pt II,SRSA92
500,2326.473,Co II,PRUJ98
60,2327.3958,Fe II,NLTH91
10,2329.836,Li II,HM59
110,2329.97,Ni I,LBT93
60,2331.3084,Fe II,NLTH91
"500 P,r",2331.3665,Ag II,KLLT02
300,2331.98,Ta II,MCS75
250,2332.19,Ta II,MCS75
14,2332.46,Cs II,S81
200,2332.799,Fe II,NLTH91
30,2333.3,Ir I,MCS75
20,2333.39,Rb II,R75
40,2333.84,Ir I,MCS75
30,2334.5,Ir I,MCS75
800 P,2334.77,Rh II,S58
400,2334.812,Sn I,B64
30 P,2335.267,Ba II,KL99
90 P,2336.8,Os II,MCS75
60,2337.488,Ni I,LBT93
120,2338.0065,Fe II,NLTH91
30,2339.0741,Pt II,SRSA92
14,2340.1805,Pt I,SRSA92
90,2343.18,Ir I,MCS75
400 P,2343.4951,Fe II,NLTH91
40,2343.61,Ir I,MCS75
50,2343.961,Fe II,NLTH91
90,2344.2816,Fe II,NLTH91
15,2344.78,Re I,MCS75
150 P,2345.543,Ni I,LBT93
200 P,2347.399,Co II,PRUJ98
40,2347.44,Hf II,MCS75
50,2347.514,Ni I,LBT93
120,2348.1159,Fe II,NLTH91
150,2348.3025,Fe II,NLTH91
1000 P,2348.61,Be I,KM97
"100 P,r",2349.84,As I,HA85
30,2350.23,Os II,MCS75
60,2350.703,Be I,KM97
300,2350.829,Be I,KM97
60,2351.22,Hf II,MCS75
400 P,2351.3469,Pd II,LLJ94
12,2352.07,Re I,MCS75
15,2352.65,Au I,MCS75
90,2353.368,Co I,PT96
200 P,2353.422,Co II,PRUJ98
700 P,2354.85,Sn I,B64
30,2355.0,Ir I,MCS75
15,2355.28,Os II,MCS75
40,2357.1047,Pt I,SRSA92
100,2357.3,Ta I,MCS75
200 P,2357.916,Ru II,JJLL94
120,2359.1322,Fe II,NLTH91
90,2359.9997,Fe II,NLTH91
70,2360.2945,Fe II,NLTH91
70,2360.44,W I,MCS75
800,2360.5341,Pd II,LLJ94
100,2361.09,Ta I,MCS75
30,2361.92,Rh I,MCS75
30,2362.77,Os I,MCS75
150,2363.04,Ir I,MCS75
100,2363.07,W I,MCS75
500 P,2363.8,Co II,PRUJ98
40,2363.8612,Fe II,NLTH91
250,2364.24,Ta II,MCS75
120,2364.8281,Fe II,NLTH91
50,2365.7654,Fe II,NLTH91
20,2365.9,Re I,MCS75
30,2366.3729,Pt II,SRSA92
50 P,2367.052,Al I,KM91b
60 P,2367.35,Os II,MCS75
10,2367.68,Re I,MCS75
300 P,2367.9664,Pd II,LLJ94
60 P,2368.04,Ir II,KM78
80 P,2368.226,Sn II,B64
14,2368.2781,Pt I,SRSA92
600 P,2368.384,Bi II,DLW02
50,2368.5964,Fe II,NLTH91
9,2369.27,Re I,MCS75
50,2369.9534,Fe II,NLTH91
40,2370.76,Re II,MCS75
"70 P,r",2370.77,As I,HA85
120,2371.58,Ta I,MCS75
200 P,2372.77,Ir I,MCS75
100,2373.06,Te II,HM64
90 P,2373.124,Al I,KM91b
40,2373.6245,Fe I,NJLT94
150 h,2373.631,Sb I,SM02
60,2373.7357,Fe II,NLTH91
60,2374.47,W I,MCS75
12,2375.06,Os II,MCS75
50,2375.09,Ir II,MCS75
40,2375.194,Fe II,NLTH91
150,2375.418,Ni II,S70
70,2376.4294,Fe II,NLTH91
90,2377.03,Os I,MCS75
60,2377.2773,Pt II,SRSA92
400 P,2378.626,Co II,PRUJ98
50,2379.2765,Fe II,NLTH91
30,2379.39,Os I,MCS75
"40 P,h",2379.69,Tl I,MCS75
70,2380.7616,Fe II,NLTH91
10,2381.538,Li II,HM59
30,2381.62,Ir I,MCS75
200,2381.765,Co II,PRUJ98
1000 P,2382.0376,Fe II,NLTH91
30,2382.89,Rh I,MCS75
20,2383.199,Li II,HM59
40,2383.2452,Fe II,NLTH91
50 P,2383.277,Te I,MV75
6,2383.303,Cr I,K53
25,2383.4,Rh I,MCS75
300 P,2383.459,Co II,PRUJ98
120 h,2383.616,Sb I,SM02
8,2383.6432,Pt I,SRSA92
80,2384.82,W I,MCS75
20,2385.34,Rb II,R75
7 c,2385.4,He II,GM65
60 P,2385.792,Te I,MV75
200 P,2386.37,Co II,PRUJ98
500,2386.7,Br II,R58
7,2386.8089,Pt I,SRSA92
80,2386.89,Ir I,MCS75
600 P,2387.06,Ta II,MCS75
60,2387.29,Os I,MCS75
11,2387.75,Au I,MCS75
200,2388.6289,Fe II,NLTH91
500 P,2388.917,Co II,PRUJ98
400,2388.96,Br II,R58
25,2389.5358,Pt I,SRSA92
2,2389.54,In I,P38
500,2389.69,Br II,R58
150,2390.62,Ir I,MCS75
9,2390.74,Yb II,M67
150,2391.18,Ir I,MCS75
250,2392.63,Cu I,S48
10,2392.86,Cs II,S81
50,2393.36,Hf II,MCS75
"50 P,r",2393.792,Pb I,WA68
80,2393.83,Hf II,MCS75
150,2394.519,Ni II,S70
200 P,2395.048,B II,O70
700 P,2395.6254,Fe II,NLTH91
40,2395.88,Os I,MCS75
50,2397.107,W II,EKM00
200,2397.386,Co II,PRUJ98
70,2397.73,W I,MCS75
70,2397.98,W I,MCS75
200,2399.2413,Fe II,NLTH91
1000 P,2400.63,Ta II,MCS75
30,2401.13,Os I,MCS75
20 r,2401.94,Pb I,WA68
15,2402.331,Li II,HM59
1000 P,2402.72,Ru II,MCS75
11,2403.0918,Pt I,SRSA92
200,2404.172,Co II,PRUJ98
500 P,2404.8858,Fe II,NLTH91
25,2405.06,Re I,MCS75
12,2405.08,Os II,MCS75
60,2405.42,Hf II,MCS75
200 d,2405.58,W I,MCS75
13,2405.6,Re I,MCS75
40,2405.7269,Pt II,SRSA92
150,2406.66,Cu I,S48
150,2406.6612,Fe II,NLTH91
50,2406.9761,Fe II,NLTH91
250 P,2407.256,Co I,PT96
7,2408.6,Cr I,K53
40,2410.14,Hf II,MCS75
200,2410.5192,Fe II,NLTH91
10,2410.842,Li II,HM59
120,2411.0677,Fe II,NLTH91
250 P,2411.624,Co I,PT96
4 r,2411.734,Pb I,WA68
"1000 P,r",2413.1883,Ag II,KLLT02
30,2413.31,Ir I,MCS75
90,2413.3104,Fe II,NLTH91
700 P,2413.535,Se I,LP77
250,2414.464,Co I,PT96
250,2415.29,Co I,PT96
70,2415.68,W I,MCS75
300 P,2415.84,Rh II,S58
300,2416.134,Ni II,S70
300,2417.659,Co II,PRUJ98
40,2417.69,Hf II,MCS75
50,2417.8707,Fe II,NLTH91
10,2418.0583,Pt I,SRSA92
40,2418.11,Ir I,MCS75
20,2419.81,Re I,MCS75
12,2420.02,Os II,MCS75
2,2420.456,Ar II,N73
40,2420.8161,Pt II,SRSA92
150,2420.99,Na II,W71
600 P,2421.694,Sn I,B64
40,2422.186,Y II,NJK91
40,2422.6882,Fe II,NLTH91
25,2423.07,Os II,MCS75
90,2424.1456,Fe II,NLTH91
100,2424.21,W I,MCS75
150,2424.73,Na II,W71
150,2424.8672,Pt II,SRSA92
200 P,2424.935,Co I,PT96
50,2424.97,Os I,MCS75
30,2426.53,Ir II,MCS75
30,2427.61,Ir I,MCS75
140,2427.64,Ta I,MCS75
250 P,2427.95,Au I,MCS75
70,2428.3638,Fe II,NLTH91
50,2428.58,Re I,MCS75
700 P,2429.495,Sn I,B64
25,2429.52,Rh I,MCS75
10,2429.814,Li II,HM59
70,2430.0783,Fe II,NLTH91
70,2431.08,W I,MCS75
30,2431.24,Ir I,MCS75
9,2431.54,Re I,MCS75
80,2431.94,Ir I,MCS75
8,2432.18,Re I,MCS75
150,2432.213,Co I,PT96
50,2432.2612,Fe II,NLTH91
200,2432.7,Ta II,MCS75
40,2432.8732,Fe II,NLTH91
25,2433.3064,Pt II,SRSA92
70,2433.98,W I,MCS75
40,2434.461,Pt II,SRSA92
300,2435.154,Si I,RA65
200,2435.96,W I,MCS75
140,2436.662,Co I,PT96
25,2436.6887,Pt I,SRSA92
"1000 P,r",2437.7832,Ag II,KLLT02
250,2438.69,Te II,HM64
110,2439.04,Co I,PT96
90,2439.3014,Fe II,NLTH91
110,2440.0608,Pt I,SRSA92
40,2440.34,Rh I,MCS75
100 P,2441.64,Cu I,S48
200,2442.617,Co II,PRUJ98
40,2443.71,Fe II,NLTH91
70,2444.06,W I,MCS75
60,2444.5154,Fe II,NLTH91
150 r,2445.502,Sb I,SM02
250,2445.538,O II,MKM93
60,2445.5732,Fe II,NLTH91
200,2446.017,Co II,PRUJ98
500 P,2446.1888,Pd II,LLJ94
11,2446.98,Re I,MCS75
50,2447.25,Hf II,MCS75
200,2447.711,Co II,PRUJ98
300 P,2447.9058,Pd I,ELLW98
25,2448.908,Sn II,B64
11,2449.71,Re I,MCS75
200,2450.002,Co II,PRUJ98
150,2450.08,Ga I,MM52
"600 P,w",2450.08,Po I,C66a
80,2450.439,Pt II,SRSA92
30,2450.74,Os I,MCS75
7 c,2450.967,Pt I,SRSA92
