Intensity,Wavelength (Å),Spectrum,Reference
20,8426.504,Ti I,F91
80 P,8428.254,Cl I,RK69
60,8434.959,Ti I,F91
30,8435.648,Ti I,F91
30,8438.74,N II,M75a
300 h,8441.04,Pa I,BW92b
250 P,8446.25,O I,M75b
300 P,8446.36,O I,M75b
500 P,8446.55,Br I,T63
300 P,8446.76,O I,M75b
40,8463.3575,Ne I,SS04
11,8467.341,Cl I,RK69
13,8484.4435,Ne I,SS04
700,8495.3598,Ne I,SS04
50,8495.829,Ce I,BWCC91
600,8498.018,Ca II,ER56
400,8503.45,K I,R56
400,8505.11,K I,R56
500 P,8508.8728,Kr I,K93
500,8511.061,Cu II,R69
15 h,8515.19,Xe II,H39
70,8520.95,Rn I,R33
"1000 P,c",8521.13,Cs I,EJN64
400,8521.442,Ar I,N73
1000 P,8529.96,Np I,FTBC76
300,8532.0,Bi II,CM34
"1000 P,h",8532.66,Pa I,BW92b
700 P,8542.089,Ca II,ER56
15,8544.6958,Ne I,SS04
90,8545.44,La I,MCS75
11,8550.438,Cl I,RK69
30,8552.531,Sn I,B64
25,8556.7803,Si I,BE93
60 P,8559.998,Ba I,KL99
120,8567.74,N I,M75a
1000,8568.83,Cf II,RCWM80
30,8571.3524,Ne I,SS04
"1000 P,s",8572.96,Pa I,BW92b
100 P,8575.24,Cl I,RK69
20,8576.01,Xe I,HM33
400 P,8585.97,Cl I,RK69
400,8591.2584,Ne I,SS04
140,8594.0,N I,M75a
300 P,8600.07,Rn I,R33
20,8603.96,Rb II,R75
15 h,8604.23,Xe II,H39
25,8607.95,U I,PKE80
15,8608.31,Cs II,S81
150,8629.24,N I,M75a
1000 P,8630.189,Pu I,BFG84
350,8634.647,Ne I,SS04
250,8638.66,Br I,T63
300 h,8639.91,Pa I,BW92b
60,8647.0411,Ne I,SS04
25,8648.54,Xe I,HM33
1,8649.92,Na I,R56
1,8650.89,Na I,R56
300 h,8653.51,Pa I,BW92b
600 P,8654.3831,Ne I,SS04
80,8655.522,Ne I,SS04
120,8655.89,N I,M75a
700 P,8662.14,Ca II,ER56
130,8667.944,Ar I,N73
100,8668.256,Ne II,P71
50,8675.83,Rn I,R33
130,8679.4925,Ne I,SS04
150 P,8680.28,N I,M75a
150,8681.9211,Ne I,SS04
150 P,8683.4,N I,M75a
120,8686.15,N I,M75a
20,8686.26,Cl I,RK69
4,8688.91,Sr II,NOL73
7,8691.282,U I,PKE80
10,8692.2,Xe I,HM33
40,8694.71,S I,KM93
300 s,8696.23,Np I,FTBC76
20,8696.86,Xe I,HM33
120,8703.25,N I,M75a
30,8704.1116,Ne I,SS04
140,8711.7,N I,M75a
2,8712.689,Mg I,KM91a
15 h,8716.19,Xe II,H39
2,8717.825,Mg I,KM91a
120,8718.83,N I,M75a
10,8734.98,Mg II,KM91a
1000 P,8735.27,Pa I,BW92b
3,8736.021,Mg I,KM91a
30,8739.39,Xe I,HM33
30,8741.529,P I,S80
11,8745.663,Mg II,KM91a
9,8757.76,U I,PKE80
120,8758.183,Te I,MV75
10,8758.2,Xe I,HM33
"250 P,c",8761.41,Cs I,EJN64
150,8763.96,K I,R56
25,8764.11,Kr I,KH69
120,8767.05,K I,R56
100,8771.6563,Ne I,SS04
7,8771.86,Ar II,N73
40,8772.866,Al I,KM91b
50,8773.896,Al I,KM91b
1000 P,8776.7505,Kr I,K93
600 P,8780.6226,Ne I,SS04
400 P,8783.7533,Ne I,SS04
130 c,8793.47,Br I,T63
5,8801.37,Be I,KM97
2,8806.757,Mg I,KM91a
500 P,8819.411,Xe I,HP70b
200,8819.96,Br I,T63
10,8824.318,Mg II,KM91a
300,8825.22,Br I,T63
6,8830.9072,Ne I,SS04
11,8835.08,Mg II,KM91a
5,8849.91,Ar I,M73
300,8853.8668,Ne I,SS04
40,8857.5,I I,KC59
30,8862.32,Xe I,HM33
20,8865.3063,Ne I,SS04
150,8865.7552,Ne I,SS04
400,8897.62,Br I,T63
500,8902.19,K I,R56
500,8904.02,K I,R56
300 s,8906.02,Np I,FTBC76
20,8908.73,Xe I,HM33
400,8912.07,Ca II,ER56
11,8912.921,Cl I,RK69
8,8915.013,Ba I,KL99
300,8918.86,Se I,MV74
60,8919.5006,Ne I,SS04
4 h,8922.56,Yb II,M67
200,8923.31,K I,R56
3,8923.569,Mg I,KM91a
150,8925.44,K I,R56
500,8927.36,Ca II,ER56
300,8928.6934,Kr I,K93
20,8930.83,Xe I,HM33
300,8942.7,Np I,FTBC76
"1000 P,c",8943.47,Cs I,EJN64
15,8948.063,Cl I,RK69
100,8952.252,Xe I,HP70b
70 P,8967.6403,Th I,PE83
10,8981.05,Xe I,HM33
20,8987.57,Xe I,HM33
20,8988.5564,Ne I,SS04
300 s,9004.75,Np I,FTBC76
300 l,9006.31,Np I,FTBC76
"1000 P,l",9016.18,Np I,FTBC76
70,9022.4,I I,KC59
10,9038.982,Cl I,RK69
12,9045.433,Cl I,RK69
40,9045.45,Xe I,HM33
40,9048.2501,Th I,PE83
50,9050.82,Pb II,WRSH74
200 P,9058.33,I I,KC59
2,9063.27,He I,M60a
50,9063.43,Pb II,WRSH74
10,9073.166,Cl I,RK69
1,9075.394,Ar I,N73
100,9079.462,Ne II,P71
220,9094.83,C I,J66
150,9111.8,C I,J66
150,9113.91,I I,KC59
40,9121.146,Cl I,RK69
1000 P,9122.967,Ar I,N73
700,9130.0,Tl II,ES36
1,9130.5,Tl I,MM52
300 l,9141.3,Np I,FTBC76
120,9148.6716,Ne I,SS04
1,9153.88,Na I,R56
50,9162.65,Xe I,HM33
400,9166.06,Br I,T63
10,9167.52,Xe I,HM33
300 P,9172.32,Cs I,EJN64
200,9173.63,Br I,T63
250,9178.16,Br I,T63
15,9191.731,Cl I,RK69
50,9193.85,P I,S80
15,9194.638,Ar I,N73
90,9201.7591,Ne I,SS04
90,9208.53,Cs I,EJN64
2,9210.34,He I,M60a
150 P,9212.865,S I,KM93
12 w,9213.0,In II,PC38
500,9213.9,Ca II,R68
14,9218.25,Mg II,KM91a
60,9220.0601,Ne I,SS04
30 c,9220.75,Cs II,S81
20,9221.5801,Ne I,SS04
400,9224.499,Ar I,N73
20,9226.6903,Ne I,SS04
100 P,9228.092,S I,KM93
1000 l,9228.52,Cf I,RCWM80
80 P,9237.538,S I,KM93
150,9238.48,Kr II,DHM33
13,9244.265,Mg II,KM91a
2,9246.499,Mg I,KM91a
5,9255.778,Mg I,KM91a
150,9260.81,O I,M75b
150,9260.84,O I,M75b
150,9260.94,O I,M75b
130,9262.58,O I,M75b
200,9262.67,O I,M75b
200,9262.77,O I,M75b
500,9265.42,Br I,T63
150,9265.94,O I,M75b
200 P,9266.01,O I,M75b
9,9275.5196,Ne I,SS04
30,9278.88,P I,S80
200,9287.563,Ne II,P71
20,9288.856,Cl I,RK69
11,9291.531,Ar I,N73
"150 h,l",9293.82,Kr II,DHM33
80,9300.8527,Ne I,SS04
70,9304.94,P I,S80
8,9310.5839,Ne I,SS04
400,9311.998,Ca II,R68
30,9313.9726,Ne I,SS04
400,9319.56,Ca II,R68
500,9320.65,Ca II,R68
200,9320.86,Br I,T63
70 h,9320.99,Kr II,DHM33
30,9323.5,P I,S80
70,9326.5068,Ne I,SS04
150,9327.02,Rn I,R33
10 d,9327.545,Mg II,KM91a
1000,9337.7,Cf I,RCWM80
10,9340.542,Mg II,KM91a
300,9347.24,K I,R56
120,9349.25,K I,R56
250,9351.59,K I,R56
50,9354.22,Ar I,N73
100,9361.95,Kr II,DHM33
15,9362.082,Kr I,KH69
50,9370.119,Ba I,KL99
3 h,9370.27,In I,JL67
15,9373.3078,Ne I,SS04
10,9374.76,Xe I,HM33
"300 P,s",9379.33,Np I,FTBC76
120,9386.8,N I,M75a
140,9392.79,N I,M75a
70 h,9402.82,Kr II,DHM33
400 P,9405.73,C I,J66
4,9414.964,Mg I,KM91a
500,9416.967,Ca I,R68
50,9425.3788,Ne I,SS04
50,9426.71,I I,KC59
40,9427.15,I I,KC59
1000 s,9429.13,Bk I,CWBC77
3,9429.814,Mg I,KM91a
3,9432.764,Mg I,KM91a
50,9435.069,P I,S80
3,9438.783,Mg I,KM91a
50,9441.86,P I,S80
20,9452.098,Cl I,RK69
30,9452.83,P I,S80
30,9459.2095,Ne I,SS04
10,9463.61,He I,M60a
1,9465.94,Na I,R56
"300 P,l",9468.66,Np I,FTBC76
70 h,9470.93,Kr II,DHM33
50,9476.928,Y II,NJK91
11,9479.32,Rb II,R75
50,9486.6818,Ne I,SS04
70,9493.56,P I,S80
20,9513.38,Xe I,HM33
4,9516.6,He I,M60a
150,9518.68,Sb I,SM02
6 h,9520.198,Hg II,SR01
90 P,9525.73,P I,S80
3,9526.17,He I,M60a
1,9529.27,He I,M60a
150,9533.071,Pu I,BFG84
60,9534.1629,Ne I,SS04
80 P,9545.18,P I,S80
5,9545.97,H I,RCWM80
30,9547.4049,Ne I,SS04
90 P,9563.439,P I,S80
400,9567.965,Ca II,R68
120,9577.013,Ne II,P71
150 P,9577.52,Kr II,DHM33
100 P,9581.42,Li II,SO82
15 h,9591.35,Xe II,H39
20,9592.222,Cl I,RK69
600,9595.7,K I,R56
600,9597.83,K I,R56
150,9597.92,As I,HA85
500,9599.235,Ca II,R68
300,9601.815,Ca II,R68
1,9603.42,He I,M60a
150 h,9605.8,Kr II,DHM33
15,9608.894,Ba I,KL99
40,9609.04,P I,S80
130 h,9619.61,Kr II,DHM33
150,9626.65,As I,HA85
12,9631.892,Mg II,KM91a
11,9632.431,Mg II,KM91a
20,9638.939,P I,S80
1000,9649.51,Cf I,RCWM80
40 d,9653.06,I I,KC59
"70 P,d",9657.04,Bi I,GMV85
700 P,9657.786,Ar I,N73
150,9658.44,C I,J66
70,9663.34,Kr II,DHM33
180,9665.4197,Ne I,SS04
30,9676.24,P I,S80
300 s,9679.13,Np I,FTBC76
15,9685.32,Xe I,HM33
20 c,9689.05,Rb II,R75
15 l,9698.68,Xe II,H39
3,9702.6,He I,M60a
70 h,9711.6,Kr II,DHM33
10,9718.16,Xe I,HM33
200 P,9722.742,Te I,MV75
70,9731.73,I I,KC59
80 P,9734.75,P I,S80
80 P,9750.77,P I,S80
300,9751.761,Kr I,K93
130,9784.503,Ar I,N73
30,9790.21,P I,S80
90 P,9796.85,P I,S80
200,9799.7,Xe I,HP70b
150,9803.14,Kr II,DHM33
20 h,9805.184,Sn I,B64
100,9808.86,Ne II,P71
200,9833.78,As I,HA85
40,9850.381,Sn I,B64
300,9854.74,Ca II,ER56
80,9856.314,Kr I,KH69
400,9861.28,Cu II,R69
1000 l,9862.39,Bk II,CWBC77
400,9864.137,Cu II,R69
20,9868.92,Te I,MV75
500,9890.63,Ca II,ER56
130,9896.4,Br I,T63
20,9903.68,P I,S80
250,9923.03,As I,HA85
300 P,9923.19,Xe I,HP70b
300 l,9930.55,Np I,FTBC76
400,9931.39,Ca II,ER56
150,9949.14,Sb I,SM02
250,9949.67,K I,R56
200,9954.14,K I,R56
25,9956.3,Te I,MV75
1,9961.28,Na I,R56
6,9977.86,In I,JL67
2,9983.2,Mg I,KM91a
3,9986.48,Mg I,KM91a
3,9993.21,Mg I,KM91a
14,9994.79,Cs II,S81
200,10024.01,As I,HA85
300,10024.36,Cs I,EW70
6,10027.73,He I,M60a
2,10031.16,He I,M60a
40,10032.139,Ba I,KL99
7,10036.66,Sr II,S38a
7,10049.4,H I,RCWM80
250 P,10051.41,Te I,MV75
5,10052.06,Ar I,M73
400,10054.938,Cu II,R69
150,10091.01,Te I,MV75
"300 P,l",10091.99,Np I,FTBC76
14,10092.16,Mg II,KM91a
80,10112.48,N I,M75a
90,10114.64,N I,M75a
12,10119.92,Be II,J61a
80,10123.41,Cs I,EW70
400,10123.6,Cs I,EW70
15 c,10123.6,He II,GM65
1000,10126.2,Bk I,CWBC77
1,10138.5,He I,M60a
200 P,10139.76,Hg I,BAL50
15,10157.91,U I,BW92b
30 c,10176.02,Cs II,S81
300 P,10221.46,Kr II,DHM33
400,10223.04,Ca II,R68
11,10257.03,In I,JL67
13,10259.55,U I,BW92b
120,10260.849,Sb I,SM02
2,10290.458,Pb I,WA68
1000,10292.44,Bk I,CWBC77
4,10295.4174,Ne I,SS04
400,10307.45,Se I,MV74
1000 s,10308.41,Cf I,CWBV77
10,10311.23,He I,M60a
2,10311.54,He I,M60a
1000 P,10327.26,Se I,MV74
20 P,10327.31,Sr II,S38a
30,10329.701,Y II,NJK91
1,10332.72,Ar I,M73
25,10379.66,Cs II,S81
700 P,10386.36,Se I,MV74
200 P,10455.451,S I,KM93
30 P,10456.757,S I,KM93
400,10457.96,Br I,T63
130 P,10459.406,S I,KM93
70,10466.54,I I,KC59
30,10467.177,Ar II,N73
50,10470.054,Ar I,N73
400,10479.63,K I,R56
13,10480.93,Cs II,S81
200,10482.15,K I,R56
300,10487.11,K I,R56
30,10493.57,Te I,MV75
1,10498.965,Pb I,WA68
50,10504.51,Cs II,S81
5,10506.5,Ar I,M73
50,10529.52,P I,S80
1000 P,10542.98,Cm I,WHGC76
30,10554.93,U I,BW92b
80,10562.4075,Ne I,SS04
1000 l,10568.83,Cf I,CWBV77
1000 l,10570.53,Bk I,CWBC77
1,10572.28,Na I,R56
70,10581.57,P I,S80
20,10585.14,Si I,BE93
300,10594.38,Pa I,BW92b
20,10603.427,Si I,BE93
30,10605.15,Y II,NJK91
1000 s,10614.84,Cf I,CWBV77
20,10660.97,Si I,BE93
3,10667.65,He I,M60a
6,10673.565,Ar I,N73
400,10677.246,Sb I,SM02
2,10683.034,Ar II,N73
150,10691.25,C I,J66
3 h,10717.42,In I,JL67
1,10733.87,Ar I,M73
300,10741.898,Sb I,SM02
6 h,10744.31,In I,JL67
2,10746.44,Na I,R56
1,10749.29,Na I,R56
1,10759.16,Ar I,M73
1000 P,10792.25,Cm I,WHGC76
60,10798.0429,Ne I,SS04
20 w,10807.88,Cs II,S81
6,10811.08,Mg I,KM91a
2,10812.896,Ar II,N73
"300 P,s",10817.45,Np I,FTBC76
20,10827.088,Si I,BE93
150 P,10829.0911,He I,M02
500 P,10830.2501,He I,M02
1000 P,10830.3398,He I,M02
2,10834.87,Na I,R56
10,10838.37,Xe I,HM33
250,10839.571,Sb I,SM02
90,10844.4772,Ne I,SS04
20,10869.539,Si I,BE93
150,10879.698,Sb I,SM02
9,10913.05,He I,L70a
11,10914.23,Mg II,KM91a
4,10914.88,Sr II,S38a
3,10917.1,He I,L70a
70,10918.34,Te I,MV75
300,10923.32,Pa I,BW92b
12,10938.1,H I,RCWM80
10,10951.78,Mg II,KM91a
4,10953.32,Mg I,KM91a
4,10957.3,Mg I,KM91a
5,10965.45,Mg I,KM91a
120,11012.728,Sb I,SM02
700,11019.87,K I,R56
600,11022.67,K I,R56
2,11032.1,Mg I,KM91a
2,11033.66,Mg I,KM91a
400 P,11089.56,Te I,MV75
1,11106.46,Ar I,M73
300 P,11143.02,Ne I,SS04
10,11167.84,U I,BW92b
500 P,11177.524,Ne I,SS04
40,11183.23,P I,S80
15,11187.108,Kr I,KH69
1,11197.21,Na I,R56
50,11230.2547,Th I,PE83
90,11252.83,Ge I,HA64
50,11253.189,Al I,KM91b
60,11254.926,Al I,KM91b
30,11257.711,Kr I,KH69
25,11259.126,Kr I,KH69
60,11266.082,Sb I,SM02
200,11286.34,O I,M75b
200,11286.91,O I,M75b
150,11287.02,O I,M75b
150,11287.32,O I,M75b
"1000 P,l",11293.14,Bk I,CWBC77
150,11295.1,O I,M75b
200,11297.68,O I,M75b
1000,11300.19,Cf I,CWBV77
200,11302.38,O I,M75b
5 P,11381.45,Na I,R56
15,11384.13,U I,BW92b
150,11390.4339,Ne I,SS04
12 P,11403.78,Na I,R56
90,11409.1343,Ne I,SS04
11,11454.407,Sn I,B64
80,11457.481,Kr I,KH69
250 P,11487.23,Te I,MV75
11,11488.109,Ar I,N73
"1000 P,l",11500.3,Bk I,CWBC77
50 P,11512.82,Tl I,MM52
300 P,11522.7459,Ne I,SS04
150,11525.0194,Ne I,SS04
90,11536.3445,Ne I,SS04
1000 s,11575.34,Bk I,CWBC77
30,11601.5366,Ne I,SS04
25,11607.5752,Fe I,NJLT94
130,11614.0807,Ne I,SS04
70,11614.81,Ge I,HA64
9,11616.152,Sn I,B64
4 c,11626.4,He II,GM65
300,11646.78,Pa I,BW92b
100 P,11660.028,B I,EL01
50 P,11662.452,B I,El01
6,11668.71,Ar I,N73
1000,11681.85,Cf I,CWBV77
30,11688.0017,Ne I,SS04
25,11689.9756,Fe I,NJLT94
700 P,11690.21,K I,R56
300 l,11695.15,Np I,FTBC76
"50 P,d",11710.83,Bi I,GMV85
250,11714.76,Ge I,HA64
11,11739.591,Sn I,B64
9,11742.01,Xe I,H73
90,11748.22,C I,JL65
140 P,11753.32,C I,JL65
110 P,11754.76,C I,JL65
150,11766.7924,Ne I,SS04
600 P,11769.62,K I,R56
700 P,11772.83,K I,R56
"300 P,l",11776.64,Np I,FTBC76
130,11789.0435,Ne I,SS04
30,11789.8891,Ne I,SS04
1000 P,11791.73,Pa I,BW92b
25,11792.425,Kr I,KH69
"1000 P,s",11793.09,Bk I,CWBC77
250,11819.377,Kr I,KH69
8 P,11828.17,Mg I,KM91a
1000,11834.28,Cm I,CBV76
15,11859.42,U I,BW92b
12,11863.229,Sb I,SM02
60,11882.8467,Fe I,NJLT94
30,11908.83,U I,BW92b
9,11932.82,Sn I,B64
1000 P,11941.33,Cf I,CWBV77
50,11949.12,Ga I,JL67
30,11969.12,He I,L70a
100,11973.0498,Fe I,NJLT94
50 P,11984.201,Si I,BE93
70,11984.912,Ne I,SS04
30,11991.562,Si I,BE93
100,11997.105,Kr I,KH69
60 P,12031.503,Si I,BE93
200,12066.334,Ne I,SS04
500 P,12069.2,Ge I,HA64
25,12077.224,Kr I,KH69
5,12083.65,Mg I,KM91a
20,12095.36,Be II,J61a
20,12103.535,Si I,BE93
40,12109.78,Ga I,JL67
6,12112.326,Ar I,N73
30,12127.3016,Th I,PE83
1,12139.738,Ar I,N73
300 s,12148.18,Np I,FTBC76
1000 s,12159.05,Bk I,CWBC77
"1000 P,l",12183.05,Cf II,CWBV77
90,12186.82,N I,M75a
150,12231.212,Pu I,BFG84
30,12231.9446,Th I,PE83
40,12235.24,Xe I,H73
10,12257.76,Xe I,H73
15,12270.692,Si I,BE93
300,12279.01,Pa I,BW92b
1,12343.393,Ar I,N73
1000 s,12352.72,Cf I,CWBV77
"300 P,s",12377.42,Np I,FTBC76
400 P,12391.58,Ge I,HA64
6,12402.827,Ar I,N73
300 l,12407.99,Np I,FTBC76
1000 s,12437.48,Cf I,CWBV77
6,12439.321,Ar I,N73
3,12456.12,Ar I,N73
40,12459.389,Ne I,SS04
150,12464.02,O I,M75b
1000,12464.99,Cm I,CBV76
200 P,12469.62,N I,M75a
6,12487.663,Ar I,N73
20,12527.52,He I,L70a
150,12570.04,O I,M75b
30,12590.2,Xe I,H73
11,12604.29,Cs II,S81
250 P,12623.399,Xe I,HP70b
30,12646.5347,Th I,PE83
5,12679.17,Na I,R56
60,12689.201,Ne I,SS04
4,12702.281,Ar I,N73
1,12733.418,Ar I,N73
20 c,12735.52,Cs II,S81
50,12784.99,He I,L70a
"1000 P,l",12787.41,Cf I,CWBV77
20,12790.57,He I,L70a
6,12802.739,Ar I,N73
500,12816.04,Ca I,R68
20 P,12818.07,H I,MK00a
7,12845.96,He I,L70a
15,12861.892,Kr I,KH69
500,12909.1,Ca I,R68
80,12912.014,Ne I,SS04
1 P,12912.59,In I,JL67
1,12933.195,Ar I,N73
14,12956.659,Ar I,N73
10,12968.45,He I,L70a
14,12981.01,Sn I,B64
2,12984.89,He I,L70a
1000,13004.56,Cm I,CBV76
6,13008.264,Ar I,N73
40 P,13013.2,Tl I,MM52
600,13033.57,Ca I,R68
90,13107.61,Ge I,HA64
60,13123.378,Al I,KM91b
50,13150.708,Al I,KM91b
250 P,13163.89,O I,M75b
250 P,13164.85,O I,M75b
200,13165.11,O I,M75b
200,13177.412,Kr I,KH69
25,13185.16,U I,BW92b
6,13213.99,Ar I,N73
40,13219.241,Ne I,SS04
6,13228.107,Ar I,N73
3,13230.9,Ar I,N73
300,13234.09,Pa I,BW92b
1,13235.17,Rb I,J61b
60,13247.75,Te I,MV75
1000,13258.18,Cm I,CBV76
14,13272.64,Ar I,N73
1000,13289.84,Cm I,CBV76
30,13313.21,Ar I,N73
1000 l,13329.98,Cf II,CWBV77
1000 s,13362.98,Cf I,CWBV77
30,13367.111,Ar I,N73
"1000 P,l",13376.89,Cf II,CWBV77
50,13424.31,Cs I,S81
120,13429.61,N I,M75a
1 P,13429.96,In I,JL67
14,13459.2,Sn I,B64
1000 l,13474.44,Cf I,CWBV77
1000,13480.54,Cm I,CBV76
1000,13498.36,Bk I,CWBC77
1,13499.41,Ar I,N73
30,13504.191,Ar I,N73
1000 P,13522.4,Pa I,BW92b
25,13544.15,Xe I,H73
50,13570.21,Hg I,H53
200 P,13581.33,N I,M75a
"600 P,c",13588.29,Cs I,S81
1000,13590.01,Cm I,CBV76
1,13599.333,Ar I,N73
140,13602.56,Cs I,S81
150,13622.415,Kr I,KH69
11,13622.659,Ar I,N73
400 P,13634.22,Kr I,KH69
1000,13644.77,Cm I,CBV76
200,13657.06,Xe I,H73
130,13658.394,Kr I,KH69
1,13665.01,Rb I,J61b
40,13673.51,Hg I,H53
6,13678.55,Ar I,N73
40 c,13692.91,Cs II,S81
30,13711.036,Kr I,KH69
30,13718.577,Ar I,N73
100,13738.851,Kr I,KH69
90,13758.81,Cs I,S81
1000,13789.52,Cm I,CBV76
300 l,13834.33,Np I,FTBC76
14 c,13868.82,Cs II,S81
1000,13908.46,Cm I,CBV76
10,13961.58,U I,BW92b
25,13974.027,Kr I,KH69
90,14045.657,Kr I,KH69
6,14093.64,Ar I,N73
25,14104.298,Kr I,KH69
120,14142.44,Xe I,H73
1000 s,14196.93,Bk I,CWBC77
1000,14235.27,Cm I,CBV76
80,14240.96,Xe I,H73
25,14241.64,P I,S80
1000,14334.52,Cm I,CBV76
1000 P,14344.76,Pa I,BW92b
40,14364.99,Xe I,H73
30,14402.22,Kr I,KH69
300 P,14426.793,Kr I,KH69
40,14513.51,Te I,MV75
15,14517.84,Kr I,KH69
1000,14563.41,Cm I,CBV76
1000,14580.23,Cm I,CBV76
6,14643.92,Be I,KM97
6,14644.75,Be I,KM97
14,14660.81,Xe I,H73
"900 P,c",14694.91,Cs I,S81
300 P,14732.816,Xe I,HP70b
250,14734.436,Kr I,KH69
11 P,14752.41,Rb I,J61b
90,14762.672,Kr I,KH69
80,14765.472,Kr I,KH69
1,14767.48,Na I,R56
1000 l,14772.49,Cf II,CWBV77
1,14779.73,Na I,R56
400,14817.93,Se I,MV74
200,14822.38,Ge I,HA64
5,14877.53,Mg I,KM91a
500,14917.47,Se I,MV74
70,14961.894,Kr I,KH69
