Intensity,Wavelength (Å),Spectrum,Reference
150,7685.2459,Kr I,K93
30 P,7687.772,Ag I,PZ01
2,7691.55,Mg I,KM91a
200,7694.5401,Kr I,K93
1000 P,7698.9645,K I,E99
40 P,7699.49,Yb I,MT78
40,7717.581,Cl I,RK69
1000 P,7720.47,Cm I,WHGC76
400,7723.761,Ar I,N73
300,7724.207,Ar I,N73
1,7724.6233,Ne I,SS04
40,7732.4886,Zn II,GL00
"300 P,l",7735.14,Np I,FTBC76
80,7735.69,Kr II,DHM33
12 c,7740.7,In II,PC38
120,7740.738,Ne II,P71
15,7741.425,Sn II,B64
50 P,7744.97,Cl I,RK69
70,7746.64,Rn I,R33
25,7746.827,Kr I,KH69
"1000 P,h",7749.19,Pa I,BW92b
200 P,7754.696,F I,L49
3,7757.651,Rb I,B59
1,7759.436,Rb I,B59
"300 P,l",7765.75,Np I,FTBC76
11,7769.163,Cl I,RK69
300 P,7771.94,O I,M75b
250 P,7774.17,O I,M75b
250 P,7775.39,O I,M75b
500,7778.738,Cu II,R69
50,7780.478,Ba I,KL99
20,7787.04,Xe II,H39
"300 P,l",7791.38,Np I,FTBC76
800,7792.26,Ga II,IL85
80 c,7793.04,Tc I,BMC67
150 P,7800.212,F I,L49
"1000 c,P",7800.27,Rb I,J61b
10,7802.65,Xe I,HM33
400 P,7803.02,Br I,T63
500,7805.184,Cu II,R69
1000,7807.659,Cu II,R69
1,7809.78,Na I,R56
300 P,7809.82,Rn I,R33
1,7816.15,He I,M60a
80,7817.72,Tc I,BMC67
11,7821.363,Cl I,RK69
700,7825.654,Cu II,R69
8,7830.746,Cl I,RK69
30,7836.134,Al I,KM91b
200,7838.12,Ra I,R34b
2,7839.0529,Ne I,SS04
140,7845.35,Hf I,MCS75
50,7848.8,Si II,S61b
70,7849.72,Si II,S61b
25,7852.52,Cs II,S81
130,7854.8234,Kr I,K93
200 l,7866.1,Ac I,MFT57
300,7872.95,Pa I,BW92b
12,7877.054,Mg II,KM91a
15,7878.215,Cl I,RK69
10,7881.32,Xe I,HM33
30,7887.4,Xe I,HM33
13,7896.366,Mg II,KM91a
12,7899.31,Cl I,RK69
500,7902.553,Cu II,R69
1000 s,7903.9,Bk I,WC78
25,7905.747,Ba I,KL99
12,7911.329,Ba I,KL99
30,7913.4251,Kr I,K93
9,7915.084,Cl I,RK69
100,7923.9,S I,KM93
15,7924.645,Cl I,RK69
120,7926.201,Ne II,P71
3,7927.1177,Ne I,SS04
30,7928.5988,Kr I,K93
25,7932.349,Si I,RA65
150,7933.13,Cu I,S48
70,7933.22,Kr II,DHM33
10,7933.894,Cl I,RK69
8,7935.012,Cl I,RK69
13,7936.9961,Ne I,SS04
"400 P,c",7938.68,Br I,T63
80,7943.1814,Ne I,SS04
50,7943.88,Cs I,K62b
30,7944.001,Si I,RA65
250 P,7944.555,Hg II,SR01
300 l,7945.56,Pa I,BW92b
"500 c,P",7947.6,Rb I,J61b
600 P,7948.176,Ar I,N73
200,7955.37,K I,R56
150,7956.83,K I,R56
250,7962.62,Po I,C66a
50,7967.34,Xe I,HM33
80 P,7967.371,S II,KM93
40,7973.62,Kr II,DHM33
130,7978.57,Br I,T63
40,7978.9731,Th I,PE83
15,7982.401,Kr I,KH69
800,7988.163,Cu II,R69
400,7989.94,Br I,T63
110,7994.73,Hf I,MCS75
200,7997.44,Cs II,S81
14,7997.854,Cl I,RK69
